"NO3_mgkgdrysoil"	"NH4_mgkgdrysoil"	"mineralN_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"DON_mgkgdrysoil"	"grav_mois"	"Plot"	"Block"	"Treatment"	"GrazeTime"
0.549	8.863	9.412	231.102	5.019	3.91198044	1	"1"	"NO"	"PRE"
0	4.545	4.545	219.786	7.886	6.772908367	2	"1"	"LO"	"PRE"
0	5.899	5.899	287.162	9.03	8.168316832	3	"1"	"HI"	"PRE"
2.882	9.728	12.61	288.497	4.108	7.606263982	4	"2"	"NO"	"PRE"
0	4.741	4.741	194.016	4.887	7.478632479	5	"2"	"LO"	"PRE"
2.778	11.411	14.189	519.84	10.821	8.97755611	6	"2"	"HI"	"PRE"
0	4.782	4.782	221.139	5.292	8.294930876	7	"3"	"LO"	"PRE"
1.61	5.428	7.038	234.002	2.965	9.848484848	8	"3"	"NO"	"PRE"
2.106	6.838	8.944	368.839	12.509	9.725685786	9	"3"	"HI"	"PRE"
3.155	12.828	15.983	514.088	14.515	8.229426434	10	"4"	"HI"	"PRE"
0	7.603	7.603	255.482	5.313	7.983193277	11	"4"	"LO"	"PRE"
0	6.462	6.462	292.771	5.685	6.932773109	12	"4"	"NO"	"PRE"
0	7.274	7.274	173.787	7.84	3.96039604	1	"1"	"NO"	"24H"
0	6.736	6.736	309.441	11.561	7.872340426	2	"1"	"LO"	"24H"
0	9.933	9.933	377.672	15.353	8.401639344	3	"1"	"HI"	"24H"
0	10.677	10.677	338.523	18.466	7.532956685	4	"2"	"NO"	"24H"
0	10.541	10.541	419.512	14.279	6.586826347	5	"2"	"LO"	"24H"
6.729	13.894	20.623	300.703	0	8.113207547	6	"2"	"HI"	"24H"
0	10.126	10.126	422.999	11.359	4.721030043	7	"3"	"LO"	"24H"
0	8.078	8.078	308.389	8.462	6.540084388	8	"3"	"NO"	"24H"
0	9.383	9.383	301.768	7.201	5.009633911	9	"3"	"HI"	"24H"
0	6.806	6.806	461.11	18.46	7.035175879	10	"4"	"HI"	"24H"
0.177	10.517	10.694	292.49	7.052	9.185803758	11	"4"	"LO"	"24H"
4.64	7.331	11.971	283.758	1.825	8.216432866	12	"4"	"NO"	"24H"
6.363	5.469	11.832	194.236	0.494	16.15245009	1	"1"	"NO"	"1WK"
5.759	9.636	15.395	202.072	0	19.44444444	2	"1"	"LO"	"1WK"
0	6.736	6.736	187.764	4.928	20.63492063	3	"1"	"HI"	"1WK"
0	11.496	11.496	185.433	5.101	20.25	4	"2"	"NO"	"1WK"
0	7.177	7.177	284.174	7.912	18.2194617	5	"2"	"LO"	"1WK"
0	4.019	4.019	164.73	3.828	22.09302326	6	"2"	"HI"	"1WK"
86.133	9.796	95.929	164.897	0	22.44488978	7	"3"	"LO"	"1WK"
5.398	8.29	13.688	172.009	0	22.82051282	8	"3"	"NO"	"1WK"
5.479	5.784	11.263	239.491	0	20.93495935	9	"3"	"HI"	"1WK"
10.153	70.316	80.469	201.879	0	20.0811359	10	"4"	"HI"	"1WK"
0	3.568	3.568	196.01	4.251	20	11	"4"	"LO"	"1WK"
0	7.184	7.184	226.106	7.276	22.08436725	12	"4"	"NO"	"1WK"
8.941	5.382	14.323	184.27	0	16.63652803	1	"1"	"NO"	"4WK"
5.641	5.406	11.047	177.294	0	20.64516129	2	"1"	"LO"	"4WK"
0.07	6.021	6.091	252.526	6.223	21.55172414	3	"1"	"HI"	"4WK"
0.836	5.737	6.573	238.783	2.799	24.36781609	4	"2"	"NO"	"4WK"
0	4.163	4.163	401.813	16.427	23.25581395	5	"2"	"LO"	"4WK"
100.015	11.467	111.482	309.699	0	26.08695652	6	"2"	"HI"	"4WK"
32.455	11.498	43.953	156.067	0	6.883365201	7	"3"	"LO"	"4WK"
0	7.513	7.513	251.106	5.664	7.002188184	8	"3"	"NO"	"4WK"
0.011	7.428	7.439	210.846	2.978	6.082289803	9	"3"	"HI"	"4WK"
0	6.823	6.823	341.351	8.246	6.374501992	10	"4"	"HI"	"4WK"
0.011141712	8.605480072	8.616621784	374.5910261	13.56120142	6.160164271	11	"4"	"LO"	"4WK"
