"Substrate"	"Enzyme_nm_g_hr"	"Plot"	"Block"	"Treatment"	"GrazeTime"
"AG"	115.2193629	1	"1"	"NO"	"PRE"
"BG"	379.1921681	1	"1"	"NO"	"PRE"
"BX"	122.0015859	1	"1"	"NO"	"PRE"
"CBH"	69.33452069	1	"1"	"NO"	"PRE"
"LAP"	726.7252174	1	"1"	"NO"	"PRE"
"NAG"	38.78152649	1	"1"	"NO"	"PRE"
"PER1"	0.360822579	1	"1"	"NO"	"PRE"
"PEROX"	3.736908307	1	"1"	"NO"	"PRE"
"PHENOX"	3.376085727	1	"1"	"NO"	"PRE"
"PHOS"	192.4783928	1	"1"	"NO"	"PRE"
"AG"	80.1846765	2	"1"	"LO"	"PRE"
"BG"	467.8303283	2	"1"	"LO"	"PRE"
"BX"	122.9520831	2	"1"	"LO"	"PRE"
"CBH"	63.32428439	2	"1"	"LO"	"PRE"
"LAP"	748.5888828	2	"1"	"LO"	"PRE"
"NAG"	39.05575523	2	"1"	"LO"	"PRE"
"PER1"	0.508542717	2	"1"	"LO"	"PRE"
"PEROX"	3.204504034	2	"1"	"LO"	"PRE"
"PHENOX"	2.695961317	2	"1"	"LO"	"PRE"
"PHOS"	156.7187716	2	"1"	"LO"	"PRE"
"AG"	120.7269477	3	"1"	"HI"	"PRE"
"BG"	491.7034848	3	"1"	"HI"	"PRE"
"BX"	162.7060146	3	"1"	"HI"	"PRE"
"CBH"	96.68051841	3	"1"	"HI"	"PRE"
"LAP"	889.8084752	3	"1"	"HI"	"PRE"
"NAG"	54.2413075	3	"1"	"HI"	"PRE"
"PER1"	0	3	"1"	"HI"	"PRE"
"PEROX"	3.933759756	3	"1"	"HI"	"PRE"
"PHENOX"	4.645285275	3	"1"	"HI"	"PRE"
"PHOS"	128.754692	3	"1"	"HI"	"PRE"
"AG"	127.8736052	4	"2"	"NO"	"PRE"
"BG"	579.0163947	4	"2"	"NO"	"PRE"
"BX"	169.9522862	4	"2"	"NO"	"PRE"
"CBH"	94.0709773	4	"2"	"NO"	"PRE"
"LAP"	1061.347157	4	"2"	"NO"	"PRE"
"NAG"	53.87487867	4	"2"	"NO"	"PRE"
"PER1"	0	4	"2"	"NO"	"PRE"
"PEROX"	2.69670215	4	"2"	"NO"	"PRE"
"PHENOX"	5.432367375	4	"2"	"NO"	"PRE"
"PHOS"	77.02180093	4	"2"	"NO"	"PRE"
"AG"	76.59592993	5	"2"	"LO"	"PRE"
"BG"	484.0868746	5	"2"	"LO"	"PRE"
"BX"	106.7032137	5	"2"	"LO"	"PRE"
"CBH"	58.29639594	5	"2"	"LO"	"PRE"
"LAP"	837.0239751	5	"2"	"LO"	"PRE"
"NAG"	39.94684135	5	"2"	"LO"	"PRE"
"PER1"	1.318994849	5	"2"	"LO"	"PRE"
"PEROX"	3.014489863	5	"2"	"LO"	"PRE"
"PHENOX"	1.695495015	5	"2"	"LO"	"PRE"
"PHOS"	76.94567176	5	"2"	"LO"	"PRE"
"AG"	109.3120371	6	"2"	"HI"	"PRE"
"BG"	459.2464046	6	"2"	"HI"	"PRE"
"BX"	97.93024005	6	"2"	"HI"	"PRE"
"CBH"	62.67520808	6	"2"	"HI"	"PRE"
"LAP"	929.8302868	6	"2"	"HI"	"PRE"
"NAG"	42.45735487	6	"2"	"HI"	"PRE"
"PER1"	0.214286809	6	"2"	"HI"	"PRE"
"PEROX"	1.930341057	6	"2"	"HI"	"PRE"
"PHENOX"	1.716054248	6	"2"	"HI"	"PRE"
"PHOS"	3.566270743	6	"2"	"HI"	"PRE"
"AG"	84.03722654	7	"3"	"LO"	"PRE"
"BG"	555.3599961	7	"3"	"LO"	"PRE"
"BX"	122.6488099	7	"3"	"LO"	"PRE"
"CBH"	70.61259831	7	"3"	"LO"	"PRE"
"LAP"	812.3764169	7	"3"	"LO"	"PRE"
"NAG"	46.89543926	7	"3"	"LO"	"PRE"
"PER1"	0.031750666	7	"3"	"LO"	"PRE"
"PEROX"	1.641042753	7	"3"	"LO"	"PRE"
"PHENOX"	1.609292087	7	"3"	"LO"	"PRE"
"PHOS"	2.146930856	7	"3"	"LO"	"PRE"
"AG"	96.08522013	8	"3"	"NO"	"PRE"
"BG"	573.6762856	8	"3"	"NO"	"PRE"
"BX"	149.8124726	8	"3"	"NO"	"PRE"
"CBH"	107.6745244	8	"3"	"NO"	"PRE"
"LAP"	945.9559411	8	"3"	"NO"	"PRE"
"NAG"	65.07108817	8	"3"	"NO"	"PRE"
"PER1"	0.607021008	8	"3"	"NO"	"PRE"
"PEROX"	2.27268962	8	"3"	"NO"	"PRE"
"PHENOX"	1.665668611	8	"3"	"NO"	"PRE"
"PHOS"	167.588151	8	"3"	"NO"	"PRE"
"AG"	93.99707217	9	"3"	"HI"	"PRE"
"BG"	502.5880791	9	"3"	"HI"	"PRE"
"BX"	146.6654367	9	"3"	"HI"	"PRE"
"CBH"	77.0485928	9	"3"	"HI"	"PRE"
"LAP"	767.3287996	9	"3"	"HI"	"PRE"
"NAG"	56.50493663	9	"3"	"HI"	"PRE"
"PER1"	1.693726814	9	"3"	"HI"	"PRE"
"PEROX"	3.748764836	9	"3"	"HI"	"PRE"
"PHENOX"	2.055038022	9	"3"	"HI"	"PRE"
"PHOS"	180.2947367	9	"3"	"HI"	"PRE"
"AG"	0	10	"4"	"HI"	"PRE"
"BG"	0	10	"4"	"HI"	"PRE"
"BX"	0	10	"4"	"HI"	"PRE"
"CBH"	0	10	"4"	"HI"	"PRE"
"LAP"	0	10	"4"	"HI"	"PRE"
"NAG"	0	10	"4"	"HI"	"PRE"
"PER1"	0	10	"4"	"HI"	"PRE"
"PEROX"	0	10	"4"	"HI"	"PRE"
"PHENOX"	0	10	"4"	"HI"	"PRE"
"PHOS"	0	10	"4"	"HI"	"PRE"
"AG"	77.94826573	11	"4"	"LO"	"PRE"
"BG"	419.1935875	11	"4"	"LO"	"PRE"
"BX"	120.1520975	11	"4"	"LO"	"PRE"
"CBH"	48.31626547	11	"4"	"LO"	"PRE"
"LAP"	872.0164067	11	"4"	"LO"	"PRE"
"NAG"	66.86394671	11	"4"	"LO"	"PRE"
"PER1"	1.364026645	11	"4"	"LO"	"PRE"
"PEROX"	2.705773726	11	"4"	"LO"	"PRE"
"PHENOX"	1.341747081	11	"4"	"LO"	"PRE"
"PHOS"	43.64282169	11	"4"	"LO"	"PRE"
"AG"	66.81194553	12	"4"	"NO"	"PRE"
"BG"	387.834941	12	"4"	"NO"	"PRE"
"BX"	106.5252144	12	"4"	"NO"	"PRE"
"CBH"	45.8079126	12	"4"	"NO"	"PRE"
"LAP"	728.7975832	12	"4"	"NO"	"PRE"
"NAG"	40.40890671	12	"4"	"NO"	"PRE"
"PER1"	2.232474493	12	"4"	"NO"	"PRE"
"PEROX"	4.215666423	12	"4"	"NO"	"PRE"
"PHENOX"	1.983191929	12	"4"	"NO"	"PRE"
"PHOS"	203.735559	12	"4"	"NO"	"PRE"
"AG"	60.86136188	1	"1"	"NO"	"24H"
"BG"	323.6283351	1	"1"	"NO"	"24H"
"BX"	109.2798851	1	"1"	"NO"	"24H"
"CBH"	38.41476501	1	"1"	"NO"	"24H"
"LAP"	800.6547514	1	"1"	"NO"	"24H"
"NAG"	32.62350032	1	"1"	"NO"	"24H"
"PER1"	2.159057237	1	"1"	"NO"	"24H"
"PEROX"	3.89967399	1	"1"	"NO"	"24H"
"PHENOX"	1.740616753	1	"1"	"NO"	"24H"
"PHOS"	155.7716152	1	"1"	"NO"	"24H"
"AG"	73.79512719	2	"1"	"LO"	"24H"
"BG"	442.6879289	2	"1"	"LO"	"24H"
