"Plot"	"reading_rpm"	"biomass_kg_plot"	"Block"	"Treatment"	"GrazeTime"
1	21.2	231.0686454	"1"	"NO"	"PRE"
1	24.1	490.9744198	"1"	"NO"	"24H"
1	26.4	358.4016646	"1"	"NO"	"1WK"
1	27.5	515.110651	"1"	"NO"	"4WK"
2	24.4	440.8810564	"1"	"LO"	"PRE"
2	25.1	841.7022865	"1"	"LO"	"24H"
2	18.8	420.1079183	"1"	"LO"	"1WK"
2	18.5	272.1132447	"1"	"LO"	"4WK"
3	32.8	1110.824051	"1"	"HI"	"PRE"
3	15.8	268.8987967	"1"	"HI"	"24H"
3	18.5	162.2088512	"1"	"HI"	"1WK"
3	19.4	345.17226	"1"	"HI"	"4WK"
4	28.7	634.2310342	"2"	"NO"	"PRE"
4	30.1	1039.883227	"2"	"NO"	"24H"
4	30.6	1038.266712	"2"	"NO"	"1WK"
4	34.5	1149.676136	"2"	"NO"	"4WK"
5	28.4	740.4007221	"2"	"LO"	"PRE"
5	27.5	888.0795251	"2"	"LO"	"24H"
5	22.4	694.0420642	"2"	"LO"	"1WK"
5	24.6	337.5913652	"2"	"LO"	"4WK"
6	29.8	586.1815394	"2"	"HI"	"PRE"
6	14.9	247.1223049	"2"	"HI"	"24H"
6	16.4	94.92841019	"2"	"HI"	"1WK"
6	14.4	298.0332158	"2"	"HI"	"4WK"
7	33.3	652.4400461	"3"	"LO"	"PRE"
7	32.1	858.2390422	"3"	"LO"	"24H"
7	21.5	283.1129744	"3"	"LO"	"1WK"
7	24.2	367.580493	"3"	"LO"	"4WK"
8	33.9	717.8066828	"3"	"NO"	"PRE"
8	34.2	948.6895219	"3"	"NO"	"24H"
8	32.9	929.8301882	"3"	"NO"	"1WK"
8	34.1	652.1799174	"3"	"NO"	"4WK"
9	28.6	640.9943815	"3"	"HI"	"PRE"
9	15.1	130.8819185	"3"	"HI"	"24H"
9	14.9	368.769653	"3"	"HI"	"1WK"
9	18.7	292.1431579	"3"	"HI"	"4WK"
10	22.8	466.9682531	"4"	"HI"	"PRE"
10	10.7	86.62287107	"4"	"HI"	"24H"
10	11.9	266.6877024	"4"	"HI"	"1WK"
10	15.1	172.4746462	"4"	"HI"	"4WK"
11	20.4	313.2321666	"4"	"LO"	"PRE"
11	16.8	294.2799297	"4"	"LO"	"24H"
11	12.4	122.7250243	"4"	"LO"	"1WK"
11	13.9	125.0290218	"4"	"LO"	"4WK"
12	29.4	416.1688259	"4"	"NO"	"PRE"
12	23.9	427.4286843	"4"	"NO"	"24H"
12	23.3	316.9390011	"4"	"NO"	"1WK"
