Plot	lab_id	SampDate
 1	 1	2018-06-07 00:00:00.000
 1	25	2018-06-15 00:00:00.000
 1	49	2018-06-22 00:00:00.000
 1	73	2018-07-13 00:00:00.000
 2	 2	2018-06-07 00:00:00.000
 2	26	2018-06-15 00:00:00.000
 2	50	2018-06-22 00:00:00.000
 2	74	2018-07-13 00:00:00.000
 3	 3	2018-06-07 00:00:00.000
 3	27	2018-06-15 00:00:00.000
 3	51	2018-06-22 00:00:00.000
 3	75	2018-07-13 00:00:00.000
 4	 4	2018-06-07 00:00:00.000
 4	28	2018-06-15 00:00:00.000
 4	52	2018-06-22 00:00:00.000
 4	76	2018-07-13 00:00:00.000
 5	 5	2018-06-07 00:00:00.000
 5	29	2018-06-15 00:00:00.000
 5	53	2018-06-22 00:00:00.000
 5	77	2018-07-13 00:00:00.000
 6	 6	2018-06-07 00:00:00.000
 6	30	2018-06-15 00:00:00.000
 6	54	2018-06-22 00:00:00.000
 6	78	2018-07-13 00:00:00.000
 7	 7	2018-06-07 00:00:00.000
 7	31	2018-06-13 00:00:00.000
 7	55	2018-06-20 00:00:00.000
 7	79	2018-07-11 00:00:00.000
 8	 8	2018-06-07 00:00:00.000
 8	32	2018-06-13 00:00:00.000
 8	56	2018-06-20 00:00:00.000
 8	80	2018-07-11 00:00:00.000
 9	 9	2018-06-07 00:00:00.000
 9	33	2018-06-13 00:00:00.000
 9	57	2018-06-20 00:00:00.000
 9	81	2018-07-11 00:00:00.000
10	10	2018-06-07 00:00:00.000
10	34	2018-06-13 00:00:00.000
10	58	2018-06-20 00:00:00.000
10	82	2018-07-11 00:00:00.000
11	11	2018-06-07 00:00:00.000
11	35	2018-06-13 00:00:00.000
11	59	2018-06-20 00:00:00.000
11	83	2018-07-11 00:00:00.000
12	12	2018-06-07 00:00:00.000
12	36	2018-06-13 00:00:00.000
12	60	2018-06-20 00:00:00.000
