lab_ID	grav_mois	decimalgravmois
1	3.91	0.0391
2	6.77	0.0677
3	8.17	0.0817
4	7.61	0.0761
5	7.48	0.0748
6	8.98	0.0898
7	8.29	0.0829
8	9.85	0.0985
9	9.73	0.0973
10	8.23	0.0823
11	7.98	0.0798
12	6.93	0.0693
25	3.96	0.0396
26	7.87	0.0787
27	8.4	0.084
28	7.53	0.0753
29	6.59	0.0659
30	8.11	0.0811
31	4.72	0.0472
32	6.54	0.0654
33	5.01	0.0501
34	7.04	0.0704
35	9.19	0.0919
36	8.22	0.0822
49	16.15	0.1615
50	19.44	0.1944
51	20.63	0.2063
52	20.25	0.2025
53	18.22	0.1822
54	22.09	0.2209
55	22.44	0.2244
56	22.82	0.2282
57	20.93	0.2093
58	20.08	0.2008
59	20	0.2
60	22.08	0.2208
73	16.64	0.1664
74	20.65	0.2065
75	21.55	0.2155
76	24.37	0.2437
77	23.26	0.2326
78	26.09	0.2609
79	6.88	0.0688
80	7	0.07
81	6.08	0.0608
82	6.37	0.0637
83	6.16	0.0616
