Plot	SampDate	reading_rpm	biomass_kg_plot
1	2018-06-07 00:00:00.000	21.2	231.0686454
1	2018-06-15 00:00:00.000	24.1	490.9744198
1	2018-06-22 00:00:00.000	26.4	358.4016646
1	2018-07-13 00:00:00.000	27.5	515.110651
2	2018-06-07 00:00:00.000	24.4	440.8810564
2	2018-06-15 00:00:00.000	25.1	841.7022865
2	2018-06-22 00:00:00.000	18.8	420.1079183
2	2018-07-13 00:00:00.000	18.5	272.1132447
3	2018-06-07 00:00:00.000	32.8	1110.824051
3	2018-06-15 00:00:00.000	15.8	268.8987967
3	2018-06-22 00:00:00.000	18.5	162.2088512
3	2018-07-13 00:00:00.000	19.4	345.17226
4	2018-06-07 00:00:00.000	28.7	634.2310342
4	2018-06-15 00:00:00.000	30.1	1039.883227
4	2018-06-22 00:00:00.000	30.6	1038.266712
4	2018-07-13 00:00:00.000	34.5	1149.676136
5	2018-06-07 00:00:00.000	28.4	740.4007221
5	2018-06-15 00:00:00.000	27.5	888.0795251
5	2018-06-22 00:00:00.000	22.4	694.0420642
5	2018-07-13 00:00:00.000	24.6	337.5913652
6	2018-06-07 00:00:00.000	29.8	586.1815394
6	2018-06-15 00:00:00.000	14.9	247.1223049
6	2018-06-22 00:00:00.000	16.4	94.92841019
6	2018-07-13 00:00:00.000	14.4	298.0332158
7	2018-06-07 00:00:00.000	33.3	652.4400461
7	2018-06-13 00:00:00.000	32.1	858.2390422
7	2018-06-20 00:00:00.000	21.5	283.1129744
7	2018-07-11 00:00:00.000	24.2	367.580493
8	2018-06-07 00:00:00.000	33.9	717.8066828
8	2018-06-13 00:00:00.000	34.2	948.6895219
8	2018-06-20 00:00:00.000	32.9	929.8301882
8	2018-07-11 00:00:00.000	34.1	652.1799174
9	2018-06-07 00:00:00.000	28.6	640.9943815
9	2018-06-13 00:00:00.000	15.1	130.8819185
9	2018-06-20 00:00:00.000	14.9	368.769653
9	2018-07-11 00:00:00.000	18.7	292.1431579
10	2018-06-07 00:00:00.000	22.8	466.9682531
10	2018-06-13 00:00:00.000	10.7	86.62287107
10	2018-06-20 00:00:00.000	11.9	266.6877024
10	2018-07-11 00:00:00.000	15.1	172.4746462
11	2018-06-07 00:00:00.000	20.4	313.2321666
11	2018-06-13 00:00:00.000	16.8	294.2799297
11	2018-06-20 00:00:00.000	12.4	122.7250243
11	2018-07-11 00:00:00.000	13.9	125.0290218
12	2018-06-07 00:00:00.000	29.4	416.1688259
12	2018-06-13 00:00:00.000	23.9	427.4286843
12	2018-06-20 00:00:00.000	23.3	316.9390011
