Sample	Latitude	Longitude	initial_RPM	final_RPM	count_RPM	difference_RPM	biomass_dry	bag_wt_tare	dry_bag_wt
1	41.304172	-105.640642	77665	77682	1	17	24.8	33.4	58.2
2	41.304111	-105.640692	77682	77704	1	22	19.2	33.4	52.62
3	41.30409	-105.640656	77704	77719	1	15	29.4	33.4	62.76
4	41.304025	-105.64069	77719	77734	1	15	31	33.4	64.39
5	41.303961	-105.640653	77734	77757	1	23	16.7	33.4	50.07
6	41.303904	-105.640693	77757	77774	1	17	25	33.4	58.4
7	41.303826	-105.640651	77774	77791	1	17	31.6	33.4	65.03
8	41.303756	-105.640697	77791	77804	1	13	21.9	33.4	55.3
9	41.30367	-105.640663	77804	77832	1	28	15.9	33.4	49.27
10	41.303599	-105.640664	77832	77855	1	23	17.3	33.4	50.68
11	41.303437	-105.640692	77855	77877	1	22	NULL	NULL	NULL
12	41.303269	-105.640664	77883	77908	1	25	NULL	NULL	NULL
13	41.30323	-105.640653	77908	77928	1	20	NULL	NULL	NULL
14	41.303188	-105.640676	77928	77948	1	20	NULL	NULL	NULL
15	41.303142	-105.640698	77948	77965	1	17	NULL	NULL	NULL
16	41.303043	-105.640655	77965	77979	1	14	NULL	NULL	NULL
17	41.302947	-105.640692	77979	77996	1	17	NULL	NULL	NULL
18	41.302886	-105.640696	77996	78015	1	19	NULL	NULL	NULL
19	41.302826	-105.640656	78015	78035	1	20	NULL	NULL	NULL
20	41.302735	-105.640678	78035	78052	1	17	NULL	NULL	NULL
21	41.302635	-105.640673	78052	78074	1	22	NULL	NULL	NULL
22	41.302584	-105.640688	78074	78094	1	20	NULL	NULL	NULL
23	41.302544	-105.640677	78094	78111	1	17	NULL	NULL	NULL
24	41.30248	-105.640672	78111	78123	1	12	NULL	NULL	NULL
25	41.304153	-105.640725	78123	78150	1	27	NULL	NULL	NULL
26	41.304092	-105.640722	78150	78170	1	20	NULL	NULL	NULL
27	41.304024	-105.640741	78170	78190	1	20	NULL	NULL	NULL
28	41.303991	-105.640736	78190	78218	1	28	NULL	NULL	NULL
29	41.303935	-105.640728	78218	78239	1	21	NULL	NULL	NULL
30	41.303841	-105.640729	78239	78262	1	23	NULL	NULL	NULL
31	41.303767	-105.640751	78262	78284	1	22	NULL	NULL	NULL
32	41.303704	-105.640764	78284	78296	1	12	NULL	NULL	NULL
33	41.30364	-105.640761	78296	78311	1	15	NULL	NULL	NULL
34	41.303575	-105.640749	78311	78333	1	22	NULL	NULL	NULL
35	41.303515	-105.640746	78333	78360	1	27	NULL	NULL	NULL
36	41.303447	-105.640742	78360	78380	1	20	NULL	NULL	NULL
37	41.303379	-105.640757	78380	78396	1	16	NULL	NULL	NULL
38	41.303235	-105.640755	78396	78420	1	24	NULL	NULL	NULL
39	41.303149	-105.640767	78420	78442	1	22	NULL	NULL	NULL
40	41.303072	-105.641165	78442	78462	1	20	NULL	NULL	NULL
56	41.304126	-105.640633	79860	79890	2	15	30.05	10.32	40.37
57	41.304097	-105.640611	79890	79934	2	22	19.88	10.32	30.2
58	41.304032	-105.640667	79934	79959	2	12.5	5.18	10.32	15.5
59	41.303988	-105.640649	79959	79974	2	7.5	5.9	10.32	16.22
60	41.303914	-105.640647	79974	80036	2	31	31.86	10.32	42.18
61	41.303857	-105.640679	80036	80073	2	18.5	16.86	10.32	27.18
62	41.303831	-105.640634	80073	80106	2	16.5	29.63	10.32	39.95
63	41.303776	-105.640672	80106	80149	2	21.5	14.17	10.32	24.49
64	41.303709	-105.640644	80149	80183	2	17	8.32	10.32	18.64
65	41.303674	-105.640674	80183	80208	2	12.5	10.1	10.32	20.42
66	41.303613	-105.640643	80208	80240	2	16	12.89	10.32	23.21
67	41.30355	-105.640673	80240	80268	2	14	5.46	10.32	15.78
68	41.303491	-105.64064	80268	80308	2	20	16.9	10.32	27.22
69	41.303433	-105.640678	80308	80344	2	18	20.99	10.32	31.31
70	41.303376	-105.64064	80344	80377	2	16.5	13.59	10.32	23.91
71	41.303321	-105.640672	80377	80413	2	18	16.5	10.32	26.82
72	41.303277	-105.640663	80413	80459	2	23	10.21	10.32	20.53
73	41.303204	-105.640672	80459	80503	2	22	18.75	10.32	29.07
74	41.303154	-105.640638	80503	80549	2	23	9.21	10.32	19.53
75	41.303096	-105.640671	80549	80587	2	19	20.36	10.32	30.68
76	41.302993	-105.640652	80587	80614	2	13.5	10.07	10.32	20.39
77	41.302956	-105.640675	80614	80652	2	19	19.98	10.32	30.3
78	41.302895	-105.640632	80652	80686	2	17	15.34	10.32	25.66
79	41.302828	-105.640696	80686	80716	2	15	21.41	10.32	31.73
80	41.302778	-105.640636	80716	80752	2	18	20.58	10.32	30.9
81	41.30272	-105.640673	80752	80795	2	21.5	17.31	10.32	27.63
82	41.302643	-105.640644	80795	80841	2	23	26.39	10.32	36.71
