Plot	Sample	SampDate	NO3_mgkgdrysoil	NH4_mgkgdrysoil	minN_mgkgdrysoil	NPOC_mgkgdrysoil	DON_mgkgdrysoil	MBC_mgkgdrysoil	MBN_mgkgdrysoil
1	1	2017-07-03 00:00:00.000	0	6.381467667	6.381467667	401.7875184	11.56576852	363.9592952	14.30653836
1	1	2017-07-11 00:00:00.000	0	5.179172651	5.179172651	171.2652201	8.587176066	184.3001845	22.08277514
1	1	2017-07-17 00:00:00.000	0	7.316493916	7.316493916	211.5320961	11.73217409	911.3173693	27.42640453
1	1	2017-08-07 00:00:00.000	0	2.526414748	2.526414748	152.8901549	6.97687778	217.633967	26.79241581
1	2	2017-07-03 00:00:00.000	0	6.702780136	6.702780136	257.0973994	9.294507673	294.780182	37.30037612
1	2	2017-07-11 00:00:00.000	0	2.83527415	2.83527415	183.4133722	10.89091178	313.7307457	32.15259045
1	2	2017-07-17 00:00:00.000	0	3.305545964	3.305545964	178.6592929	9.060871013	893.4296645	27.39773229
1	2	2017-08-07 00:00:00.000	0.308736028	1.765295174	2.074031202	360.4914127	6.547322131	0	17.55763911
1	3	2017-07-03 00:00:00.000	0	4.662929098	4.662929098	297.4962446	8.82869572	97.59849874	22.27239443
1	3	2017-07-11 00:00:00.000	0	1.709143683	1.709143683	324.7504268	8.535508475	0	19.81394325
1	3	2017-07-17 00:00:00.000	0	3.137971103	3.137971103	176.6506526	8.502504636	906.1154481	31.78052763
1	3	2017-08-07 00:00:00.000	0	0	0	196.6892706	10.01298556	239.1470275	26.00328553
1	4	2017-07-03 00:00:00.000	0	6.145608492	6.145608492	312.3728778	8.2180354	196.7584263	32.40709715
1	4	2017-07-11 00:00:00.000	0	2.712567114	2.712567114	213.9330404	10.17612565	44.58818259	18.08271352
1	4	2017-07-17 00:00:00.000	0	2.962111373	2.962111373	501.1461495	7.086032862	397.5548691	32.74841264
1	4	2017-08-07 00:00:00.000	0	0	0	278.2648012	7.357249666	280.9241148	38.52475253
1	5	2017-07-03 00:00:00.000	0	6.258449946	6.258449946	308.198564	9.865303586	3.096547482	8.896472953
1	5	2017-07-11 00:00:00.000	0	1.873288699	1.873288699	206.283834	11.65632119	286.3145524	25.65508774
1	5	2017-07-17 00:00:00.000	0	6.777890649	6.777890649	302.2127402	8.565615768	795.8878802	22.49649933
1	5	2017-08-07 00:00:00.000	0	1.951536059	1.951536059	221.01256	10.76987655	612.2490125	54.55574536
2	1	2017-07-03 00:00:00.000	0	5.404926172	5.404926172	160.5458041	5.174576354	381.7057477	34.63812714
2	1	2017-07-11 00:00:00.000	0	2.786073812	2.786073812	152.3167879	9.195785055	285.710999	31.06464816
2	1	2017-07-17 00:00:00.000	0	2.658039624	2.658039624	213.2267836	11.14371286	NULL	NULL
2	1	2017-08-07 00:00:00.000	0	1.529910328	1.529910328	169.571866	10.26615159	567.4699867	51.21767114
2	2	2017-07-03 00:00:00.000	0	8.299643846	8.299643846	252.1565471	6.494389261	444.4987403	54.83969699
2	2	2017-07-11 00:00:00.000	0	2.45759842	2.45759842	160.9455621	8.61486016	350.4399295	33.96182304
2	2	2017-07-17 00:00:00.000	0	3.120008791	3.120008791	359.6194998	9.332487323	327.5552643	18.1533838
2	2	2017-08-07 00:00:00.000	0	0	0	156.7515384	8.417135129	478.2353719	28.73812714
2	3	2017-07-03 00:00:00.000	0	7.008428294	7.008428294	234.8047376	6.596052246	314.1945624	28.16201541
2	3	2017-07-11 00:00:00.000	0	1.156172714	1.156172714	152.6784622	9.170590249	381.9385895	34.90567499
2	3	2017-07-17 00:00:00.000	0	1.899764516	1.899764516	187.2059736	7.285321612	NULL	NULL
2	3	2017-08-07 00:00:00.000	0	1.409498104	1.409498104	138.7482826	8.487635147	618.8325799	42.56720619
2	4	2017-07-03 00:00:00.000	0	7.102326154	7.102326154	203.8729822	4.158694031	461.51859	36.61350389
2	4	2017-07-11 00:00:00.000	0	2.657655737	2.657655737	354.5120301	9.152644823	0	26.75081169
2	4	2017-07-17 00:00:00.000	0.064699359	2.81955892	2.884258279	188.2066304	9.049348251	NULL	NULL
2	4	2017-08-07 00:00:00.000	0	1.044787811	1.044787811	101.8962613	6.208135815	408.1693402	27.99498874
2	5	2017-07-03 00:00:00.000	0	5.829651571	5.829651571	254.4538084	8.385902928	230.2342439	31.2515482
2	5	2017-07-11 00:00:00.000	0	1.946863185	1.946863185	148.5567325	10.00751197	393.9589005	33.42971235
2	5	2017-07-17 00:00:00.000	0	2.562444437	2.562444437	266.7803843	11.33716683	490.0353122	17.72921105
2	5	2017-08-07 00:00:00.000	0	0	0	132.5120465	7.840917958	439.6343234	35.17123738
3	1	2017-07-03 00:00:00.000	0	8.153148787	8.153148787	233.2387746	9.639682245	292.1384176	40.87504781
3	1	2017-07-11 00:00:00.000	0	2.869895691	2.869895691	210.0131969	13.7968493	241.1587879	20.75564836
3	1	2017-07-17 00:00:00.000	0	2.17578859	2.17578859	163.4236318	9.650046672	NULL	NULL
3	1	2017-08-07 00:00:00.000	0	1.219094351	1.219094351	187.7853892	9.06647324	383.3655963	32.24404343
3	2	2017-07-03 00:00:00.000	0	6.925198093	6.925198093	246.7415246	5.366109924	266.2038494	42.07259706
3	2	2017-07-11 00:00:00.000	0	2.293990296	2.293990296	274.1472605	11.89704469	211.5919416	26.9385892
3	2	2017-07-17 00:00:00.000	0	3.94130103	3.94130103	213.4541002	9.891283432	NULL	NULL
3	2	2017-08-07 00:00:00.000	0	0.928601724	0.928601724	128.610016	7.564032783	421.3360838	27.77719025
3	3	2017-07-03 00:00:00.000	0	8.94260137	8.94260137	245.1036752	8.024470827	352.1147366	50.65404792
3	3	2017-07-11 00:00:00.000	0	2.137037454	2.137037454	314.2965151	16.63256342	609.9456864	62.87825053
3	3	2017-07-17 00:00:00.000	0	3.009349443	3.009349443	197.2715628	8.636624848	NULL	NULL
3	3	2017-08-07 00:00:00.000	0	1.558175168	1.558175168	155.0034711	9.066676033	578.0947058	42.63727444
3	4	2017-07-03 00:00:00.000	0	8.349792523	8.349792523	279.8845472	9.963767477	220.2305081	34.05381593
3	4	2017-07-11 00:00:00.000	0	2.479205799	2.479205799	197.226899	12.51650891	521.8838553	54.85749331
3	4	2017-07-17 00:00:00.000	0	2.980827009	2.980827009	200.1931005	9.922784618	NULL	NULL
3	4	2017-08-07 00:00:00.000	0	1.360906564	1.360906564	330.5617864	6.390589162	143.9028576	38.36331971
3	5	2017-07-03 00:00:00.000	0	4.643204103	4.643204103	456.1763853	13.06756267	288.6332892	40.73892201
3	5	2017-07-11 00:00:00.000	0	1.902380546	1.902380546	243.5022249	13.98514167	449.7247874	58.83620385
3	5	2017-07-17 00:00:00.000	0	2.738229427	2.738229427	286.2542499	13.03517276	674.3697573	33.07020887
3	5	2017-08-07 00:00:00.000	0	0	0	169.6366265	8.872011279	714.3552656	56.34523281
4	1	2017-07-04 00:00:00.000	0	6.202977046	6.202977046	383.647007	9.266402755	0	31.50194931
4	1	2017-07-13 00:00:00.000	0	3.668408419	3.668408419	621.6861778	8.940438004	0	33.23572081
4	1	2017-07-19 00:00:00.000	0	5.764271105	5.764271105	127.6064469	5.017824133	556.6980227	26.80056976
4	1	2017-08-09 00:00:00.000	0	1.206949715	1.206949715	144.2516024	7.093198751	347.7592331	31.26641408
4	2	2017-07-04 00:00:00.000	0	5.873772386	5.873772386	270.8653431	6.255089505	116.0774816	26.87836542
4	2	2017-07-13 00:00:00.000	0	2.908613001	2.908613001	216.303863	8.419230708	160.0246682	27.93191063
4	2	2017-07-19 00:00:00.000	0	5.134372148	5.134372148	228.9652601	7.314859373	400.2392188	16.19435335
4	2	2017-08-09 00:00:00.000	0	1.339586561	1.339586561	96.60173874	5.141289582	486.8751878	34.04981801
4	3	2017-07-04 00:00:00.000	0	8.032695071	8.032695071	252.8366595	6.78876428	210.4851177	36.84027646
4	3	2017-07-13 00:00:00.000	0	1.802839952	1.802839952	156.0228694	8.60040053	286.607639	30.71688366
4	3	2017-07-19 00:00:00.000	0	4.935929613	4.935929613	235.0395963	8.132331658	541.6647658	22.34964462
4	3	2017-08-09 00:00:00.000	0	0	0	367.1283246	7.958200902	0	33.95360639
4	4	2017-07-04 00:00:00.000	0	7.410466773	7.410466773	257.0064906	6.203376935	145.084641	30.33382586
4	4	2017-07-13 00:00:00.000	0	2.701557755	2.701557755	247.6388299	9.780621016	192.7583137	32.98801844
4	4	2017-07-19 00:00:00.000	0	4.566485719	4.566485719	182.7377919	7.929143783	415.1617424	12.17410127
4	4	2017-08-09 00:00:00.000	0	1.543019503	1.543019503	98.61320467	5.604377671	355.2924129	36.32888778
4	5	2017-07-04 00:00:00.000	0	5.156440537	5.156440537	348.6541863	6.725968302	305.3068899	41.54580796
4	5	2017-07-13 00:00:00.000	0	4.039233382	4.039233382	177.3993202	9.867564449	335.7431913	27.26235607
4	5	2017-07-19 00:00:00.000	0	4.722237267	4.722237267	188.2189266	7.812374191	323.0662713	13.05140805
4	5	2017-08-09 00:00:00.000	0	0	0	283.9331853	9.570483651	58.16446144	26.5032097
5	1	2017-07-04 00:00:00.000	0	7.478842631	7.478842631	319.8613706	11.70646575	490.3433239	36.50496686
