Plot	SampDate	Sample	Drywt	Bagwt	DryMWt
1	2017-07-03 00:00:00.000	1	NULL	NULL	23.79
1	2017-07-03 00:00:00.000	2	NULL	NULL	27.6
1	2017-07-03 00:00:00.000	3	NULL	NULL	25.5
1	2017-07-03 00:00:00.000	4	NULL	NULL	18.49
1	2017-07-03 00:00:00.000	5	NULL	NULL	15.52
1	2017-08-07 00:00:00.000	1	57.5	37.4	20.1
1	2017-08-07 00:00:00.000	2	56.08	37.4	18.68
1	2017-08-07 00:00:00.000	3	55.37	37.4	17.97
1	2017-08-07 00:00:00.000	4	74.31	37.4	36.91
1	2017-08-07 00:00:00.000	5	63.79	37.4	26.39
2	2017-07-03 00:00:00.000	1	NULL	NULL	35.84
2	2017-07-03 00:00:00.000	2	NULL	NULL	40.62
2	2017-07-03 00:00:00.000	3	NULL	NULL	30.93
2	2017-07-03 00:00:00.000	4	NULL	NULL	25.06
2	2017-07-03 00:00:00.000	5	NULL	NULL	26.78
2	2017-08-07 00:00:00.000	1	60.12	37.4	22.72
2	2017-08-07 00:00:00.000	2	52.68	37.4	15.28
2	2017-08-07 00:00:00.000	3	56.18	37.4	18.78
2	2017-08-07 00:00:00.000	4	47.05	37.4	9.65
2	2017-08-07 00:00:00.000	5	77.8	37.4	40.4
3	2017-07-03 00:00:00.000	1	NULL	NULL	52.15
3	2017-07-03 00:00:00.000	2	NULL	NULL	46.92
3	2017-07-03 00:00:00.000	3	NULL	NULL	37.06
3	2017-07-03 00:00:00.000	4	NULL	NULL	23.15
3	2017-07-03 00:00:00.000	5	NULL	NULL	30.08
3	2017-08-07 00:00:00.000	1	59.88	37.4	22.48
3	2017-08-07 00:00:00.000	2	54.47	37.4	17.07
3	2017-08-07 00:00:00.000	3	67.21	37.4	29.81
3	2017-08-07 00:00:00.000	4	59.93	37.4	22.53
3	2017-08-07 00:00:00.000	5	102.58	37.4	65.18
4	2017-07-04 00:00:00.000	1	NULL	NULL	28.95
4	2017-07-04 00:00:00.000	2	NULL	NULL	31.52
4	2017-07-04 00:00:00.000	3	NULL	NULL	20.23
4	2017-07-04 00:00:00.000	4	NULL	NULL	29.44
4	2017-07-04 00:00:00.000	5	NULL	NULL	22.05
4	2017-08-09 00:00:00.000	1	66.99	37.4	29.59
4	2017-08-09 00:00:00.000	2	64.06	37.4	26.66
4	2017-08-09 00:00:00.000	3	64.48	37.4	27.08
4	2017-08-09 00:00:00.000	4	65.38	37.4	27.98
4	2017-08-09 00:00:00.000	5	94	37.4	56.6
5	2017-07-04 00:00:00.000	1	NULL	NULL	41.39
5	2017-07-04 00:00:00.000	2	NULL	NULL	33.66
5	2017-07-04 00:00:00.000	3	NULL	NULL	24.8
5	2017-07-04 00:00:00.000	4	NULL	NULL	36.26
5	2017-07-04 00:00:00.000	5	NULL	NULL	42.34
5	2017-08-09 00:00:00.000	1	62.58	37.4	25.18
5	2017-08-09 00:00:00.000	2	59.54	37.4	22.14
5	2017-08-09 00:00:00.000	3	61.67	37.4	24.27
5	2017-08-09 00:00:00.000	4	57.12	37.4	19.72
5	2017-08-09 00:00:00.000	5	75	37.4	37.6
6	2017-07-04 00:00:00.000	1	NULL	NULL	21.28
6	2017-07-04 00:00:00.000	2	NULL	NULL	4.22
6	2017-07-04 00:00:00.000	3	NULL	NULL	33.57
6	2017-07-04 00:00:00.000	4	NULL	NULL	48.89
6	2017-07-04 00:00:00.000	5	NULL	NULL	42.67
6	2017-08-09 00:00:00.000	1	49.21	37.4	11.81
6	2017-08-09 00:00:00.000	2	60.89	37.4	23.49
6	2017-08-09 00:00:00.000	3	55.61	37.4	18.21
6	2017-08-09 00:00:00.000	4	54.11	37.4	16.71
6	2017-08-09 00:00:00.000	5	61.02	37.4	23.62
7	2017-07-04 00:00:00.000	1	NULL	NULL	22.63
7	2017-07-04 00:00:00.000	2	NULL	NULL	29.43
7	2017-07-04 00:00:00.000	3	NULL	NULL	29.98
7	2017-07-04 00:00:00.000	4	NULL	NULL	32.89
7	2017-07-04 00:00:00.000	5	NULL	NULL	17.5
7	2017-08-08 00:00:00.000	1	62.01	37.4	24.61
7	2017-08-08 00:00:00.000	2	49.69	37.4	12.29
7	2017-08-08 00:00:00.000	3	47.05	37.4	9.65
7	2017-08-08 00:00:00.000	4	57.31	37.4	19.91
7	2017-08-08 00:00:00.000	5	52.9	37.4	15.5
8	2017-07-04 00:00:00.000	1	NULL	NULL	35.1
8	2017-07-04 00:00:00.000	2	NULL	NULL	28.36
8	2017-07-04 00:00:00.000	3	NULL	NULL	23.27
8	2017-07-04 00:00:00.000	4	NULL	NULL	29.91
8	2017-07-04 00:00:00.000	5	NULL	NULL	27.58
8	2017-08-08 00:00:00.000	1	66.41	37.4	29.01
8	2017-08-08 00:00:00.000	2	77.7	37.4	40.3
8	2017-08-08 00:00:00.000	3	62.78	37.4	25.38
8	2017-08-08 00:00:00.000	4	92.79	37.4	55.39
8	2017-08-08 00:00:00.000	5	80.12	37.4	42.72
9	2017-07-04 00:00:00.000	1	NULL	NULL	47.21
9	2017-07-04 00:00:00.000	2	NULL	NULL	59.02
9	2017-07-04 00:00:00.000	3	NULL	NULL	24.59
9	2017-07-04 00:00:00.000	4	NULL	NULL	18.12
9	2017-07-04 00:00:00.000	5	NULL	NULL	23.22
9	2017-08-08 00:00:00.000	1	78.34	37.4	40.94
9	2017-08-08 00:00:00.000	2	57.94	37.4	20.54
9	2017-08-08 00:00:00.000	3	57	37.4	19.6
9	2017-08-08 00:00:00.000	4	60.26	37.4	22.86
9	2017-08-08 00:00:00.000	5	61.21	37.4	23.81
10	2017-07-06 00:00:00.000	1	NULL	NULL	14.46
10	2017-07-06 00:00:00.000	2	NULL	NULL	31.35
10	2017-07-06 00:00:00.000	3	NULL	NULL	21.07
10	2017-07-06 00:00:00.000	4	NULL	NULL	21.13
10	2017-07-06 00:00:00.000	5	NULL	NULL	18.85
10	2017-08-10 00:00:00.000	1	51.96	37.4	14.56
10	2017-08-10 00:00:00.000	2	47.7	37.4	10.3
10	2017-08-10 00:00:00.000	3	72.56	37.4	35.16
