Plot	Sample	SampDate	doc_don	tin_wt	grav_mois	grav_od	mbc_prefum	mbc_postfum	leftover
1	1	2017-07-03 00:00:00.000	10.17	0.98	5.24	5.03	10.1	4.43	20.31
1	1	2017-07-11 00:00:00.000	11.03	1.03	6.44	6.04	10.6	10.63	17.1
1	1	2017-07-17 00:00:00.000	10.73	1	7.15	6.64	10.66	10.58	24.15
1	1	2017-08-07 00:00:00.000	10.85	0.99	6.48	5.9	10.71	11.51	37.99
1	2	2017-07-03 00:00:00.000	10.14	1.01	6.56	6.27	10.18	10.23	19.72
1	2	2017-07-11 00:00:00.000	10.55	1	6.08	5.68	10.65	10.78	30.32
1	2	2017-07-17 00:00:00.000	10.66	1.01	7.13	6.8	10.6	11.04	19.07
1	2	2017-08-07 00:00:00.000	10.95	1.01	6.47	5.82	10.64	11.75	30.04
1	3	2017-07-03 00:00:00.000	10.57	0.97	5.22	5.06	10.21	10.54	30.07
1	3	2017-07-11 00:00:00.000	10.73	0.99	6.29	5.92	10.7	10.8	34.68
1	3	2017-07-17 00:00:00.000	10.64	1.01	7.18	6.8	10.63	10.74	21.46
1	3	2017-08-07 00:00:00.000	10.97	1.01	7.29	6.67	10.83	11.5	47.24
1	4	2017-07-03 00:00:00.000	10.06	1.02	6.05	5.85	10.1	10.99	30.9
1	4	2017-07-11 00:00:00.000	10.56	1.02	6.37	6.05	10.69	11.02	20.97
1	4	2017-07-17 00:00:00.000	10.7	1	7.21	6.8	10.75	10.89	25.75
1	4	2017-08-07 00:00:00.000	10.7	1.01	7.36	6.19	10.84	11.25	31.79
1	5	2017-07-03 00:00:00.000	10.09	0.99	6.22	6.07	10.22	10.71	27.13
1	5	2017-07-11 00:00:00.000	10.52	1.03	6.53	6.12	10.66	10.76	23.56
1	5	2017-07-17 00:00:00.000	10.63	1.04	7.14	6.64	10.72	10.78	14.02
1	5	2017-08-07 00:00:00.000	10.69	1.03	7.44	6.52	10.85	11.06	21.66
2	1	2017-07-03 00:00:00.000	10.08	0.99	6.39	6.08	10.26	10.26	26.67
2	1	2017-07-11 00:00:00.000	11	1.01	6.39	6	10.77	10.93	16.16
2	1	2017-07-17 00:00:00.000	11.03	1.03	6.21	5.75	10.8	uk1	24.99
2	1	2017-08-07 00:00:00.000	10.83	1.03	6.43	5.7	10.92	11.44	26.95
2	2	2017-07-03 00:00:00.000	10.11	1	6.16	5.84	10.05	11.03	16.27
2	2	2017-07-11 00:00:00.000	10.92	0.99	6.17	5.8	10.76	10.89	23.25
2	2	2017-07-17 00:00:00.000	10.76	0.99	6.03	5.61	10.87	10.6	25.82
2	2	2017-08-07 00:00:00.000	10.74	0.99	6.89	6.3	11.06	11.86	38.99
2	3	2017-07-03 00:00:00.000	10.07	1.06	6.1	6.07	10.04	10.62	25.97
2	3	2017-07-11 00:00:00.000	10.8	1.01	6.54	6.12	10.5	10.59	24
2	3	2017-07-17 00:00:00.000	10.88	0.9	6.16	5.83	10.91	uk2	25.82
2	3	2017-08-07 00:00:00.000	10.89	0.99	6.11	5.54	10.99	11.96	37.66
2	4	2017-07-03 00:00:00.000	10.09	1.01	6.2	6.06	10	10.55	20.38
2	4	2017-07-11 00:00:00.000	10.88	1.03	6.88	6.38	10.56	10.58	19.55
2	4	2017-07-17 00:00:00.000	10.9	1.02	6.46	6.1	10.63	uk3	26.18
2	4	2017-08-07 00:00:00.000	10.66	1.03	6.41	5.82	10.68	11.6	41.11
2	5	2017-07-03 00:00:00.000	10.3	1.01	6.11	5.86	10.07	10.28	21.18
2	5	2017-07-11 00:00:00.000	10.55	1.01	6.91	6.5	10.61	10.97	25.06
2	5	2017-07-17 00:00:00.000	10.8	1	6.77	6.27	10.8	10.71	20.77
2	5	2017-08-07 00:00:00.000	11.02	0.99	6.24	5.42	11.08	11.35	35.31
3	1	2017-07-03 00:00:00.000	10.09	0.99	6.01	5.8	10.2	10.66	30.39
3	1	2017-07-11 00:00:00.000	10.61	0.99	6.36	6	10.67	10.72	16.39
3	1	2017-07-17 00:00:00.000	11.01	1.01	7.36	6.72	10.91	uk4	21.49
3	1	2017-08-07 00:00:00.000	10.9	1	7.12	6.58	10.96	11.53	18.04
3	2	2017-07-03 00:00:00.000	10.28	1	6.31	6.1	10.17	11.5	15.17
3	2	2017-07-11 00:00:00.000	10.97	1	6.65	6.21	10.82	10.75	26.14
3	2	2017-07-17 00:00:00.000	10.87	1.01	6.63	6.23	10.58	uk5	36.63
3	2	2017-08-07 00:00:00.000	10.69	1.01	7.48	6.77	11.01	11.1	59.82
3	3	2017-07-03 00:00:00.000	10.3	1.02	6.3	5.86	10.01	10.39	22.38
3	3	2017-07-11 00:00:00.000	10.77	1.01	5.73	5.18	10.62	10.72	12.8
3	3	2017-07-17 00:00:00.000	10.94	0.99	6.58	6.21	10.53	uk6	44.53
3	3	2017-08-07 00:00:00.000	11.05	0.99	6.19	5.6	10.86	11.87	19.28
3	4	2017-07-03 00:00:00.000	10.2	1	6.47	6.25	10.47	10.78	27.51
3	4	2017-07-11 00:00:00.000	10.9	1.01	6.92	5.65	10.94	10.69	18.83
3	4	2017-07-17 00:00:00.000	10.76	0.99	6.13	5.69	10.81	uk7	30
3	4	2017-08-07 00:00:00.000	10.92	0.99	7.55	6.81	11.03	11.74	32.81
3	5	2017-07-03 00:00:00.000	10.03	1.03	6	5.56	10.15	10.35	26.94
3	5	2017-07-11 00:00:00.000	10.26	1.03	6.05	5.09	11.01	10.74	23.09
3	5	2017-07-17 00:00:00.000	11.04	1.01	5.73	5.23	10.92	10.69	-
3	5	2017-08-07 00:00:00.000	10.93	1.01	6.22	5.48	10.94	11.96	29.88
4	1	2017-07-04 00:00:00.000	10.12	1.02	6.04	5.71	10.14	10.17	23.25
4	1	2017-07-13 00:00:00.000	10.7	1.02	6.23	5.66	10.86	10.85	19.25
4	1	2017-07-19 00:00:00.000	10.92	1.03	5.99	5.61	10.75	10.77	30.92
4	1	2017-08-09 00:00:00.000	11.03	1.03	6.36	5.64	10.83	11.5	18.62
4	2	2017-07-04 00:00:00.000	10.13	1.02	6.24	5.84	10.05	10.68	24.34
4	2	2017-07-13 00:00:00.000	10.9	1.01	6.86	6.47	10.81	10.64	24.86
4	2	2017-07-19 00:00:00.000	10.73	1	6.71	6.33	10.83	10.96	30.68
4	2	2017-08-09 00:00:00.000	11.09	1.01	6.05	5.31	10.94	11.85	25.85
4	3	2017-07-04 00:00:00.000	10.09	1.02	6.06	5.8	10.06	11.3	23.75
4	3	2017-07-13 00:00:00.000	10.73	1.01	6.08	5.64	10.64	10.76	22.79
4	3	2017-07-19 00:00:00.000	10.86	1.01	5.97	5.63	10.51	10.79	30.57
