Plot	Sample	SampDate	type	Latitude	Longitude	y_proj	x_proj
1	1	2017-07-03 16:00:16.000	WAYPOINT	41.304185	-105.640486	41.304185	-105.640486
1	1	2017-07-11 15:27:42.000	WAYPOINT	41.304151	-105.640392	41.304151	-105.640392
1	1	2017-07-17 15:50:37.000	WAYPOINT	41.304078	-105.640412	41.304078	-105.640412
1	1	2017-08-07 15:36:48.000	WAYPOINT	41.304213	-105.640264	41.304213	-105.640264
1	2	2017-07-03 16:15:20.000	WAYPOINT	41.304112	-105.64034	41.304112	-105.64034
1	2	2017-07-11 15:27:28.000	WAYPOINT	41.304127	-105.640348	41.304127	-105.640348
1	2	2017-07-17 15:52:43.000	WAYPOINT	41.30409	-105.640241	41.30409	-105.640241
1	2	2017-08-07 15:37:49.000	WAYPOINT	41.304133	-105.640097	41.304133	-105.640097
1	3	2017-07-03 16:27:00.000	WAYPOINT	41.304096	-105.639452	41.304096	-105.639452
1	3	2017-07-11 15:26:25.000	WAYPOINT	41.30409	-105.640171	41.30409	-105.640171
1	3	2017-07-17 15:54:15.000	WAYPOINT	41.304157	-105.640099	41.304157	-105.640099
1	3	2017-08-07 15:39:00.000	WAYPOINT	41.304128	-105.63988	41.304128	-105.63988
1	4	2017-07-03 16:29:48.000	WAYPOINT	41.304109	-105.63978	41.304109	-105.63978
1	4	2017-07-11 15:23:43.000	WAYPOINT	41.304169	-105.639949	41.304169	-105.639949
1	4	2017-07-17 15:55:35.000	WAYPOINT	41.304147	-105.640066	41.304147	-105.640066
1	4	2017-08-07 15:40:00.000	WAYPOINT	41.304191	-105.639568	41.304191	-105.639568
1	5	2017-07-03 16:32:22.000	WAYPOINT	41.304175	-105.63939	41.304175	-105.63939
1	5	2017-07-11 15:21:47.000	WAYPOINT	41.304132	-105.639761	41.304132	-105.639761
1	5	2017-07-17 15:57:05.000	WAYPOINT	41.30408	-105.639909	41.30408	-105.639909
1	5	2017-08-07 15:40:57.000	WAYPOINT	41.304104	-105.639436	41.304104	-105.639436
2	1	2017-07-03 16:44:53.000	WAYPOINT	41.303979	-105.640493	41.303979	-105.640493
2	1	2017-07-11 17:27:10.000	WAYPOINT	41.304047	-105.640392	41.304047	-105.640392
2	1	2017-07-17 16:00:17.000	WAYPOINT	41.303933	-105.640495	41.303933	-105.640495
2	1	2017-08-07 15:24:02.000	WAYPOINT	41.30407	-105.64052	41.30407	-105.64052
2	2	2017-07-03 16:51:54.000	WAYPOINT	41.303935	-105.640399	41.303935	-105.640399
2	2	2017-07-11 17:05:25.000	WAYPOINT	41.304055	-105.640296	41.304055	-105.640296
2	2	2017-07-17 16:02:30.000	WAYPOINT	41.303974	-105.640438	41.303974	-105.640438
2	2	2017-08-07 15:24:52.000	WAYPOINT	41.304012	-105.640406	41.304012	-105.640406
2	3	2017-07-03 16:51:36.000	WAYPOINT	41.303963	-105.640266	41.303963	-105.640266
2	3	2017-07-11 17:04:33.000	WAYPOINT	41.303984	-105.640322	41.303984	-105.640322
2	3	2017-07-17 16:04:20.000	WAYPOINT	41.303973	-105.63998	41.303973	-105.63998
2	3	2017-08-07 15:25:45.000	WAYPOINT	41.303975	-105.640149	41.303975	-105.640149
