Plot	Sample	SampDate	tinwght	mstsoil1011g	tinsoilOD24h	Gravmois	Imputed	Gravmois_percentage
1	1	2017-07-03 00:00:00.000	0.98	5.24	5.03	5.19	0	0.051851852
1	1	2017-07-11 00:00:00.000	1.03	6.44	6.04	7.98	0	0.079840319
1	1	2017-07-17 00:00:00.000	1	7.15	6.64	9.04	0	0.090425532
1	1	2017-08-07 00:00:00.000	0.99	6.48	5.9	11.81	0	0.118126273
1	2	2017-07-03 00:00:00.000	1.01	6.56	6.27	5.51	0	0.05513308
1	2	2017-07-11 00:00:00.000	1	6.08	5.68	8.55	0	0.085470085
1	2	2017-07-17 00:00:00.000	1.01	7.13	6.8	5.7	0	0.056994819
1	2	2017-08-07 00:00:00.000	1.01	6.47	5.82	13.51	0	0.135135135
1	3	2017-07-03 00:00:00.000	0.97	5.22	5.06	3.91	0	0.039119804
1	3	2017-07-11 00:00:00.000	0.99	6.29	5.92	7.51	0	0.07505071
1	3	2017-07-17 00:00:00.000	1.01	7.18	6.8	6.56	0	0.065630397
1	3	2017-08-07 00:00:00.000	1.01	7.29	6.67	10.95	0	0.109540636
1	4	2017-07-03 00:00:00.000	1.02	6.05	5.85	4.14	0	0.041407867
1	4	2017-07-11 00:00:00.000	1.02	6.37	6.05	6.36	0	0.06361829
1	4	2017-07-17 00:00:00.000	1	7.21	6.8	7.07	0	0.070689655
1	4	2017-08-07 00:00:00.000	1.01	7.36	6.19	22.59	0	0.225868726
1	5	2017-07-03 00:00:00.000	0.99	6.22	6.07	2.95	0	0.029527559
1	5	2017-07-11 00:00:00.000	1.03	6.53	6.12	8.06	0	0.080550098
1	5	2017-07-17 00:00:00.000	1.04	7.14	6.64	8.93	0	0.089285714
1	5	2017-08-07 00:00:00.000	1.03	7.44	6.52	16.76	0	0.167577413
2	1	2017-07-03 00:00:00.000	0.99	6.39	6.08	6.09	0	0.060903733
2	1	2017-07-11 00:00:00.000	1.01	6.39	6	7.82	0	0.078156313
2	1	2017-07-17 00:00:00.000	1.03	6.21	5.75	9.75	0	0.097457627
2	1	2017-08-07 00:00:00.000	1.03	6.43	5.7	15.63	0	0.156316916
2	2	2017-07-03 00:00:00.000	1	6.16	5.84	6.61	0	0.066115702
2	2	2017-07-11 00:00:00.000	0.99	6.17	5.8	7.69	0	0.076923077
2	2	2017-07-17 00:00:00.000	0.99	6.03	5.61	9.09	0	0.090909091
2	2	2017-08-07 00:00:00.000	0.99	6.89	6.3	11.11	0	0.111111111
2	3	2017-07-03 00:00:00.000	1.06	6.1	6.07	5.16	1	0.0516
2	3	2017-07-11 00:00:00.000	1.01	6.54	6.12	8.22	0	0.082191781
2	3	2017-07-17 00:00:00.000	0.9	6.16	5.83	6.69	0	0.06693712
2	3	2017-08-07 00:00:00.000	0.99	6.11	5.54	12.53	0	0.125274725
2	4	2017-07-03 00:00:00.000	1.01	6.2	6.06	2.77	0	0.027722772
2	4	2017-07-11 00:00:00.000	1.03	6.88	6.38	9.35	0	0.093457944
2	4	2017-07-17 00:00:00.000	1.02	6.46	6.1	7.09	0	0.070866142
2	4	2017-08-07 00:00:00.000	1.03	6.41	5.82	12.32	0	0.123173278
2	5	2017-07-03 00:00:00.000	1.01	6.11	5.86	5.15	0	0.051546392
2	5	2017-07-11 00:00:00.000	1.01	6.91	6.5	7.47	0	0.074681239
2	5	2017-07-17 00:00:00.000	1	6.77	6.27	9.49	0	0.09487666
2	5	2017-08-07 00:00:00.000	0.99	6.24	5.42	18.51	0	0.18510158
3	1	2017-07-03 00:00:00.000	0.99	6.01	5.8	4.37	0	0.043659044
3	1	2017-07-11 00:00:00.000	0.99	6.36	6	7.19	0	0.071856287
3	1	2017-07-17 00:00:00.000	1.01	7.36	6.72	11.21	0	0.112084063
3	1	2017-08-07 00:00:00.000	1	7.12	6.58	9.68	0	0.096774194
3	2	2017-07-03 00:00:00.000	1	6.31	6.1	4.12	0	0.041176471
3	2	2017-07-11 00:00:00.000	1	6.65	6.21	8.45	0	0.084452975
3	2	2017-07-17 00:00:00.000	1.01	6.63	6.23	7.66	0	0.076628352
3	2	2017-08-07 00:00:00.000	1.01	7.48	6.77	12.33	0	0.123263889
3	3	2017-07-03 00:00:00.000	1.02	6.3	5.86	9.09	0	0.090909091
