Plot	SampDate	Time	Initial	Final	Count
1	2017-07-03 00:00:00.000	PRE	9261	11826	100
1	2017-07-11 00:00:00.000	24H	47859	50003	99
1	2017-07-17 00:00:00.000	1wk	91172	93776	119
1	2017-08-07 00:00:00.000	4wk	37939	40190	100
2	2017-07-03 00:00:00.000	PRE	2006	4758	97
2	2017-07-11 00:00:00.000	24H	55008	57360	103
2	2017-07-17 00:00:00.000	1wk	94332	96270	109
2	2017-08-07 00:00:00.000	4wk	35105	37471	120
3	2017-07-03 00:00:00.000	PRE	11851	15460	98
3	2017-07-11 00:00:00.000	24H	50677	53494	99
3	2017-07-17 00:00:00.000	1wk	96988	99747	93
3	2017-08-07 00:00:00.000	4wk	30793	34581	111
4	2017-07-04 00:00:00.000	PRE	15510	18365	98
4	2017-07-13 00:00:00.000	24H	77763	80815	116
4	2017-07-19 00:00:00.000	1wk	10885	14354	119
4	2017-08-09 00:00:00.000	4wk	54448	58036	124
5	2017-07-04 00:00:00.000	PRE	18365	21497	99
5	2017-07-13 00:00:00.000	24H	73674	77708	140
5	2017-07-19 00:00:00.000	1wk	14973	18226	142
5	2017-08-09 00:00:00.000	4wk	58736	62195	129
6	2017-07-04 00:00:00.000	PRE	21668	24676	98
6	2017-07-13 00:00:00.000	24H	71055	73627	110
6	2017-07-19 00:00:00.000	1wk	18822	21759	116
6	2017-08-09 00:00:00.000	4wk	62754	66493	139
7	2017-07-04 00:00:00.000	PRE	35707	38162	95
7	2017-07-12 00:00:00.000	24H	58583	61835	122
7	2017-07-18 00:00:00.000	1wk	376	2788	122
7	2017-08-08 00:00:00.000	4wk	40749	43806	141
8	2017-07-04 00:00:00.000	PRE	33113	35706	97
8	2017-07-12 00:00:00.000	24H	62690	65654	107
8	2017-07-18 00:00:00.000	1wk	3522	6200	98
8	2017-08-08 00:00:00.000	4wk	44653	49209	161
9	2017-07-04 00:00:00.000	PRE	30447	33092	101
9	2017-07-12 00:00:00.000	24H	66204	68288	107
9	2017-07-18 00:00:00.000	1wk	6718	9667	139
9	2017-08-08 00:00:00.000	4wk	49249	52988	167
10	2017-07-06 00:00:00.000	PRE	45779	47759	95
10	2017-07-14 00:00:00.000	24H	88063	89952	112
10	2017-07-20 00:00:00.000	1wk	27429	29507	110
10	2017-08-10 00:00:00.000	4wk	74026	76506	130
11	2017-07-06 00:00:00.000	PRE	43544	45779	100
11	2017-07-14 00:00:00.000	24H	84856	87359	113
11	2017-07-20 00:00:00.000	1wk	25443	26970	95
11	2017-08-10 00:00:00.000	4wk	71613	73558	117
12	2017-07-06 00:00:00.000	PRE	40495	43538	103
12	2017-07-14 00:00:00.000	24H	81041	84057	102
12	2017-07-20 00:00:00.000	1wk	21883	24817	101
12	2017-08-10 00:00:00.000	4wk	67542	71184	116
