Plot	Sample	SampDate	Intial	Final	Count	Graze	Trample	Time
1	1	2017-07-03 00:00:00.000	6580	6599	5	0	0	PRE
1	1	2017-07-11 00:00:00.000	50393	50554	5	0	0	24H
1	1	2017-07-17 00:00:00.000	90614	90794	5	0	0	1wk
1	1	2017-08-07 00:00:00.000	37471	37558	5	0	0	4wk
1	2	2017-07-03 00:00:00.000	6770	6903	5	0	0	PRE
1	2	2017-07-11 00:00:00.000	50293	50393	5	0	0	24H
1	2	2017-07-17 00:00:00.000	90794	90904	5	0	0	1wk
1	2	2017-08-07 00:00:00.000	37558	37617	5	0	0	4wk
1	3	2017-07-03 00:00:00.000	6977	7081	5	0	0	PRE
1	3	2017-07-11 00:00:00.000	50188	50293	5	0	0	24H
1	3	2017-07-17 00:00:00.000	90904	90992	5	0	0	1wk
1	3	2017-08-07 00:00:00.000	37617	37710	5	0	0	4wk
1	4	2017-07-03 00:00:00.000	7081	7176	5	0	0	PRE
1	4	2017-07-11 00:00:00.000	50111	50187	5	0	0	24H
1	4	2017-07-17 00:00:00.000	90992	91075	5	0	0	1wk
1	4	2017-08-07 00:00:00.000	37710	37823	5	0	0	4wk
1	5	2017-07-03 00:00:00.000	7200	7321	5	0	0	PRE
1	5	2017-07-11 00:00:00.000	50003	50111	5	0	0	24H
1	5	2017-07-17 00:00:00.000	91075	91172	5	0	0	1wk
1	5	2017-08-07 00:00:00.000	37823	37939	5	0	0	4wk
2	1	2017-07-03 00:00:00.000	7373	7521	5	0	0	PRE
2	1	2017-07-11 00:00:00.000	54396	54482	5	60	0	24H
2	1	2017-07-17 00:00:00.000	93826	93916	5	80	10	1wk
2	1	2017-08-07 00:00:00.000	34623	34709	5	70	30	4wk
2	2	2017-07-03 00:00:00.000	7545	7705	5	0	0	PRE
2	2	2017-07-11 00:00:00.000	54482	54591	5	50	0	24H
2	2	2017-07-17 00:00:00.000	93916	94005	5	50	10	1wk
2	2	2017-08-07 00:00:00.000	34709	34816	5	90	10	4wk
2	3	2017-07-03 00:00:00.000	7709	7844	5	0	0	PRE
2	3	2017-07-11 00:00:00.000	54652	54736	5	10	80	24H
2	3	2017-07-17 00:00:00.000	94005	94067	5	90	10	1wk
2	3	2017-08-07 00:00:00.000	34816	34875	5	70	50	4wk
2	4	2017-07-03 00:00:00.000	7869	8004	5	0	0	PRE
2	4	2017-07-11 00:00:00.000	54927	55008	5	70	10	24H
2	4	2017-07-17 00:00:00.000	94067	94159	5	30	0	1wk
2	4	2017-08-07 00:00:00.000	34875	34930	5	80	30	4wk
