Plot	Block	Count	Group
1	1	13	asteraceae
1	1	3	bare_soil
1	1	1	brassiceae
1	1	0	dead_grass
1	1	21	fabaceae
1	1	4	forb
1	1	95	grass
1	1	97	litter
1	1	58	perennial_grass
10	4	35	asteraceae
10	4	26	bare_soil
10	4	0	brassiceae
10	4	1	dead_grass
10	4	0	fabaceae
10	4	0	forb
10	4	88	grass
10	4	74	litter
10	4	35	perennial_grass
11	4	47	asteraceae
11	4	30	bare_soil
11	4	32	brassiceae
11	4	4	dead_grass
11	4	6	fabaceae
11	4	1	forb
11	4	86	grass
11	4	70	litter
11	4	42	perennial_grass
12	4	43	asteraceae
12	4	22	bare_soil
12	4	27	brassiceae
12	4	2	dead_grass
12	4	0	fabaceae
12	4	0	forb
12	4	85	grass
12	4	78	litter
12	4	43	perennial_grass
2	1	17	asteraceae
2	1	9	bare_soil
2	1	32	brassiceae
2	1	0	dead_grass
2	1	1	fabaceae
2	1	0	forb
2	1	93	grass
2	1	91	litter
2	1	47	perennial_grass
3	1	7	asteraceae
3	1	6	bare_soil
3	1	61	brassiceae
3	1	0	dead_grass
3	1	0	fabaceae
3	1	0	forb
3	1	74	grass
3	1	94	litter
3	1	102	perennial_grass
4	2	8	asteraceae
4	2	10	bare_soil
4	2	45	brassiceae
4	2	0	dead_grass
4	2	2	fabaceae
4	2	0	forb
4	2	58	grass
4	2	90	litter
4	2	70	perennial_grass
5	2	10	asteraceae
5	2	5	bare_soil
5	2	0	brassiceae
5	2	10	dead_grass
5	2	0	fabaceae
5	2	0	forb
5	2	96	grass
5	2	95	litter
5	2	46	perennial_grass
6	2	34	asteraceae
6	2	1	bare_soil
6	2	19	brassiceae
6	2	4	dead_grass
6	2	1	fabaceae
6	2	0	forb
6	2	100	grass
6	2	99	litter
6	2	38	perennial_grass
7	3	51	asteraceae
7	3	25	bare_soil
7	3	0	brassiceae
7	3	3	dead_grass
7	3	1	fabaceae
7	3	1	forb
7	3	86	grass
7	3	75	litter
7	3	48	perennial_grass
8	3	33	asteraceae
8	3	16	bare_soil
8	3	4	brassiceae
8	3	3	dead_grass
8	3	0	fabaceae
8	3	0	forb
8	3	98	grass
8	3	84	litter
8	3	20	perennial_grass
9	3	43	asteraceae
9	3	18	bare_soil
9	3	0	brassiceae
9	3	2	dead_grass
9	3	0	fabaceae
9	3	1	forb
9	3	90	grass
9	3	82	litter
9	3	34	perennial_grass
