Plot	Transect	Pt	Level	type
1	1	1	Top.Canopy	perennial_grass
1	1	2	Top.Canopy	perennial_grass
1	1	3	Top.Canopy	perennial_grass
1	1	4	Top.Canopy	grass
1	1	5	Top.Canopy	perennial_grass
1	1	6	Top.Canopy	grass
1	1	7	Top.Canopy	perennial_grass
1	1	8	Top.Canopy	grass
1	1	9	Top.Canopy	perennial_grass
1	1	10	Top.Canopy	perennial_grass
1	1	11	Top.Canopy	perennial_grass
1	1	12	Top.Canopy	perennial_grass
1	1	13	Top.Canopy	grass
1	1	14	Top.Canopy	grass
1	1	15	Top.Canopy	perennial_grass
1	1	16	Top.Canopy	perennial_grass
1	1	17	Top.Canopy	grass
1	1	18	Top.Canopy	grass
1	1	19	Top.Canopy	grass
1	1	20	Top.Canopy	perennial_grass
1	1	21	Top.Canopy	grass
1	1	22	Top.Canopy	perennial_grass
1	1	23	Top.Canopy	grass
1	1	24	Top.Canopy	grass
1	1	25	Top.Canopy	grass
1	1	26	Top.Canopy	grass
1	1	27	Top.Canopy	grass
1	1	28	Top.Canopy	grass
1	1	29	Top.Canopy	grass
1	1	30	Top.Canopy	grass
1	1	31	Top.Canopy	grass
1	1	32	Top.Canopy	grass
1	1	33	Top.Canopy	grass
1	1	34	Top.Canopy	grass
1	1	35	Top.Canopy	grass
1	1	36	Top.Canopy	grass
1	1	37	Top.Canopy	grass
1	1	38	Top.Canopy	grass
1	1	39	Top.Canopy	grass
1	1	40	Top.Canopy	grass
1	1	41	Top.Canopy	grass
1	1	42	Top.Canopy	perennial_grass
1	1	43	Top.Canopy	perennial_grass
1	1	44	Top.Canopy	grass
1	1	45	Top.Canopy	perennial_grass
1	1	46	Top.Canopy	perennial_grass
1	1	47	Top.Canopy	grass
1	1	48	Top.Canopy	perennial_grass
1	1	49	Top.Canopy	perennial_grass
1	1	50	Top.Canopy	perennial_grass
1	2	1	Top.Canopy	grass
1	2	2	Top.Canopy	perennial_grass
1	2	3	Top.Canopy	grass
1	2	4	Top.Canopy	perennial_grass
1	2	5	Top.Canopy	fabaceae
1	2	6	Top.Canopy	perennial_grass
1	2	7	Top.Canopy	perennial_grass
1	2	8	Top.Canopy	grass
1	2	9	Top.Canopy	grass
1	2	10	Top.Canopy	perennial_grass
1	2	11	Top.Canopy	fabaceae
1	2	12	Top.Canopy	perennial_grass
1	2	13	Top.Canopy	perennial_grass
1	2	14	Top.Canopy	fabaceae
1	2	15	Top.Canopy	fabaceae
1	2	16	Top.Canopy	fabaceae
1	2	17	Top.Canopy	perennial_grass
1	2	18	Top.Canopy	fabaceae
1	2	19	Top.Canopy	fabaceae
1	2	20	Top.Canopy	perennial_grass
1	2	21	Top.Canopy	grass
1	2	22	Top.Canopy	perennial_grass
1	2	23	Top.Canopy	fabaceae
1	2	24	Top.Canopy	perennial_grass
1	2	25	Top.Canopy	perennial_grass
1	2	26	Top.Canopy	fabaceae
1	2	27	Top.Canopy	perennial_grass
1	2	28	Top.Canopy	perennial_grass
1	2	29	Top.Canopy	perennial_grass
1	2	30	Top.Canopy	perennial_grass
1	2	31	Top.Canopy	perennial_grass
1	2	32	Top.Canopy	grass
1	2	33	Top.Canopy	perennial_grass
1	2	34	Top.Canopy	brassiceae
1	2	35	Top.Canopy	grass
1	2	36	Top.Canopy	grass
1	2	37	Top.Canopy	grass
1	2	38	Top.Canopy	perennial_grass
1	2	39	Top.Canopy	perennial_grass
1	2	40	Top.Canopy	perennial_grass
1	2	41	Top.Canopy	perennial_grass
1	2	42	Top.Canopy	grass
1	2	43	Top.Canopy	grass
1	2	44	Top.Canopy	perennial_grass
1	2	45	Top.Canopy	grass
1	2	46	Top.Canopy	perennial_grass
1	2	47	Top.Canopy	grass
1	2	48	Top.Canopy	perennial_grass
1	2	49	Top.Canopy	perennial_grass
1	2	50	Top.Canopy	grass
2	1	1	Top.Canopy	grass
2	1	2	Top.Canopy	perennial_grass
2	1	3	Top.Canopy	grass
2	1	4	Top.Canopy	perennial_grass
2	1	5	Top.Canopy	perennial_grass
2	1	6	Top.Canopy	grass
2	1	7	Top.Canopy	grass
2	1	8	Top.Canopy	perennial_grass
2	1	9	Top.Canopy	perennial_grass
2	1	10	Top.Canopy	perennial_grass
2	1	11	Top.Canopy	perennial_grass
2	1	12	Top.Canopy	perennial_grass
2	1	13	Top.Canopy	perennial_grass
2	1	14	Top.Canopy	perennial_grass
2	1	15	Top.Canopy	grass
2	1	16	Top.Canopy	grass
2	1	17	Top.Canopy	grass
2	1	18	Top.Canopy	grass
2	1	19	Top.Canopy	grass
2	1	20	Top.Canopy	brassiceae
2	1	21	Top.Canopy	grass
2	1	22	Top.Canopy	grass
2	1	23	Top.Canopy	grass
2	1	24	Top.Canopy	grass
2	1	25	Top.Canopy	grass
2	1	26	Top.Canopy	grass
2	1	27	Top.Canopy	grass
2	1	28	Top.Canopy	grass
2	1	29	Top.Canopy	grass
2	1	30	Top.Canopy	perennial_grass
2	1	31	Top.Canopy	perennial_grass
2	1	32	Top.Canopy	perennial_grass
2	1	33	Top.Canopy	grass
2	1	34	Top.Canopy	grass
2	1	35	Top.Canopy	grass
2	1	36	Top.Canopy	grass
2	1	37	Top.Canopy	grass
2	1	38	Top.Canopy	grass
2	1	39	Top.Canopy	grass
2	1	40	Top.Canopy	grass
2	1	41	Top.Canopy	grass
2	1	42	Top.Canopy	perennial_grass
2	1	43	Top.Canopy	grass
2	1	44	Top.Canopy	grass
2	1	45	Top.Canopy	grass
2	1	46	Top.Canopy	perennial_grass
2	1	47	Top.Canopy	grass
2	1	48	Top.Canopy	grass
2	1	49	Top.Canopy	grass
2	1	50	Top.Canopy	perennial_grass
2	2	1	Top.Canopy	perennial_grass
2	2	2	Top.Canopy	perennial_grass
2	2	3	Top.Canopy	perennial_grass
2	2	4	Top.Canopy	perennial_grass
2	2	5	Top.Canopy	perennial_grass
2	2	6	Top.Canopy	grass
2	2	7	Top.Canopy	grass
2	2	8	Top.Canopy	perennial_grass
2	2	9	Top.Canopy	perennial_grass
2	2	10	Top.Canopy	grass
2	2	11	Top.Canopy	perennial_grass
2	2	12	Top.Canopy	perennial_grass
2	2	13	Top.Canopy	perennial_grass
2	2	14	Top.Canopy	grass
2	2	15	Top.Canopy	perennial_grass
2	2	16	Top.Canopy	grass
2	2	17	Top.Canopy	perennial_grass
2	2	18	Top.Canopy	grass
2	2	19	Top.Canopy	perennial_grass
2	2	20	Top.Canopy	grass
2	2	21	Top.Canopy	perennial_grass
2	2	22	Top.Canopy	perennial_grass
2	2	23	Top.Canopy	perennial_grass
2	2	24	Top.Canopy	grass
2	2	25	Top.Canopy	grass
2	2	26	Top.Canopy	grass
2	2	27	Top.Canopy	grass
2	2	28	Top.Canopy	grass
2	2	29	Top.Canopy	grass
2	2	30	Top.Canopy	grass
2	2	31	Top.Canopy	perennial_grass
2	2	32	Top.Canopy	perennial_grass
2	2	33	Top.Canopy	grass
2	2	34	Top.Canopy	grass
2	2	35	Top.Canopy	perennial_grass
2	2	36	Top.Canopy	perennial_grass
2	2	37	Top.Canopy	grass
2	2	38	Top.Canopy	perennial_grass
2	2	39	Top.Canopy	grass
2	2	40	Top.Canopy	perennial_grass
2	2	41	Top.Canopy	grass
2	2	42	Top.Canopy	perennial_grass
2	2	43	Top.Canopy	perennial_grass
2	2	44	Top.Canopy	perennial_grass
2	2	45	Top.Canopy	perennial_grass
2	2	46	Top.Canopy	perennial_grass
2	2	47	Top.Canopy	perennial_grass
2	2	48	Top.Canopy	perennial_grass
2	2	49	Top.Canopy	grass
2	2	50	Top.Canopy	asteraceae
3	1	1	Top.Canopy	perennial_grass
3	1	2	Top.Canopy	perennial_grass
3	1	3	Top.Canopy	perennial_grass
3	1	4	Top.Canopy	perennial_grass
3	1	5	Top.Canopy	grass
3	1	6	Top.Canopy	perennial_grass
3	1	7	Top.Canopy	perennial_grass
3	1	8	Top.Canopy	perennial_grass
3	1	9	Top.Canopy	perennial_grass
3	1	10	Top.Canopy	perennial_grass
3	1	11	Top.Canopy	grass
3	1	12	Top.Canopy	perennial_grass
3	1	13	Top.Canopy	perennial_grass
3	1	14	Top.Canopy	perennial_grass
3	1	15	Top.Canopy	perennial_grass
3	1	16	Top.Canopy	perennial_grass
3	1	17	Top.Canopy	perennial_grass
3	1	18	Top.Canopy	perennial_grass
3	1	19	Top.Canopy	perennial_grass
3	1	20	Top.Canopy	perennial_grass
3	1	21	Top.Canopy	perennial_grass
3	1	22	Top.Canopy	perennial_grass
3	1	23	Top.Canopy	brassiceae
3	1	24	Top.Canopy	perennial_grass
3	1	25	Top.Canopy	perennial_grass
3	1	26	Top.Canopy	perennial_grass
3	1	27	Top.Canopy	perennial_grass
3	1	28	Top.Canopy	perennial_grass
3	1	29	Top.Canopy	perennial_grass
3	1	30	Top.Canopy	perennial_grass
3	1	31	Top.Canopy	perennial_grass
3	1	32	Top.Canopy	perennial_grass
