Plot	Sample	SampDate	NPOC_ppm	DON_ppm	NO3_ppm	NH4_ppm	minN_ppm	chl_labile_C_mgkg	chl_labile_N_mgkg	NPOC_mgkg	DON_mgkg	NO3_mgkg	NH4_mgkg	minN_mgkg	mbc_mgkg	mbn_mgkg
1	1	2017-07-03 00:00:00.000	77.37	3.456	0	0.04498907	0.04498907	163.7816828	15.99406896	401.7875184	17.94723618	0	0.233631211	0.233631211	363.9592952	29.61864622
1	1	2017-07-11 00:00:00.000	34.71	2.79	0.10882	0.03962607	0.14844607	82.935083	12.11958748	171.2652201	13.76634872	0.536936942	0.195521971	0.732458913	184.3001845	22.44368052
1	1	2017-07-17 00:00:00.000	41.21	3.711	0.11506	0.05087107	0.16593107	410.0928162	14.91398946	211.5320961	19.04866801	0.590606236	0.261122642	0.851728878	911.3173693	27.61849899
1	1	2017-08-07 00:00:00.000	29.94	1.861	0.10648	0.02301807	0.12949807	97.93528514	14.55838876	152.8901549	9.503292528	0.543745614	0.117542962	0.661288576	217.633967	26.95997919
1	2	2017-07-03 00:00:00.000	49.13	3.057	0.09816	0.04654607	0.14470607	132.6510819	20.08323436	257.0973994	15.99728781	0.513671499	0.243575688	0.757247187	294.780182	37.19117475
1	2	2017-07-11 00:00:00.000	35.37	2.647	0.09998	0.02457507	0.12455507	141.1788356	17.30190598	183.4133722	13.72618593	0.518452614	0.12743558	0.645888194	313.7307457	32.04056663
1	2	2017-07-17 00:00:00.000	35.8	2.478	0.10414	0.02803507	0.13217507	402.043349	14.68099759	178.6592929	12.36641698	0.519708904	0.139908541	0.659617445	893.4296645	27.18703257
1	2	2017-08-07 00:00:00.000	69.16	1.654	0.12572	0.01834707	0.14406707	0	9.362197179	360.4914127	8.621353333	0.655306252	0.095632753	0.750939005	0	17.33740218
1	3	2017-07-03 00:00:00.000	60.33	2.736	0.09842	0.03651207	0.13493207	43.91932443	12.04036509	297.4962446	13.49162482	0.485323726	0.180046473	0.665370199	97.59849874	22.29697238
1	3	2017-07-11 00:00:00.000	64.35	2.03	0.10284	0.01834707	0.12118707	0	10.68845157	324.7504268	10.24465216	0.518995088	0.092590813	0.611585901	0	19.79342884
1	3	2017-07-17 00:00:00.000	35.01	2.307	0.11038	0.02682407	0.13720407	407.7519516	17.13226731	176.6506526	11.64047574	0.556946559	0.135346743	0.692293302	906.1154481	31.72642095
1	3	2017-08-07 00:00:00.000	37.46	1.907	0.1005	0	0.1005	107.6161624	14.04177419	196.6892706	10.01298556	0.527690115	0	0.527690115	239.1470275	26.00328553
1	4	2017-07-03 00:00:00.000	60.11	2.764	0.0979	0.04360507	0.14150507	88.54129182	16.97977642	312.3728778	14.36364389	0.508755694	0.226601917	0.735357611	196.7584263	31.44403041
1	4	2017-07-11 00:00:00.000	42.21	2.543	0.10232	0.02422907	0.12654907	20.06468216	9.651436547	213.9330404	12.88869277	0.518588692	0.122800251	0.641388943	44.58818259	17.87303064
1	4	2017-07-17 00:00:00.000	99.35	1.992	0.10466	0.02578607	0.13044607	178.8996911	17.63246228	501.1461495	10.04814423	0.527931112	0.130071361	0.658002473	397.5548691	32.65270792
1	4	2017-08-07 00:00:00.000	54.35	1.437	0.10154	0	0.10154	126.4158517	20.80336637	278.2648012	7.357249666	0.519871351	0	0.519871351	280.9241148	38.52475253
1	5	2017-07-03 00:00:00.000	60.23	3.151	0.09842	0.04481607	0.14323607	1.393446367	4.441794838	308.198564	16.12375353	0.503617843	0.229325061	0.732942904	3.096547482	8.225545996
1	5	2017-07-11 00:00:00.000	39.84	2.613	0.0992	0.01903907	0.11823907	128.8415486	13.81196399	206.283834	13.52960989	0.513638462	0.098580631	0.612219093	286.3145524	25.57771109
1	5	2017-07-17 00:00:00.000	58.4	2.965	0.0979	0.04741107	0.14531107	358.1495461	12.05379762	302.2127402	15.34350642	0.50662033	0.245346394	0.751966724	795.8878802	22.32184744
1	5	2017-08-07 00:00:00.000	37.7	2.17	0.1161	0.01817407	0.13427407	275.5120556	29.36469406	221.01256	12.7214126	0.680624886	0.106543707	0.787168593	612.2490125	54.37906308
10	1	2017-07-05 00:00:00.000	47.46	2.504	0.09868	0.04550807	0.14418807	191.6444989	20.49321362	245.7393908	12.96526411	0.510947389	0.235632646	0.746580035	425.8766643	37.95039559
10	1	2017-07-14 00:00:00.000	32.59	2.405	0.10232	0.02198007	0.12430007	58.10886444	8.805262233	162.5500636	11.99548643	0.510344354	0.109630616	0.61997497	129.1308099	16.30604117
10	1	2017-07-20 00:00:00.000	34.36	1.71	0.10076	0.03080307	0.13156307	120.9307647	9.654650596	175.2696253	8.722673438	0.513974606	0.157125801	0.671100407	268.7350327	17.87898259
10	1	2017-08-10 00:00:00.000	35.79	2.131	0.10934	0.02128807	0.13062807	145.1892533	29.74471478	195.0149629	11.61153635	0.595779158	0.11599587	0.711775028	322.642785	55.08280514
10	2	2017-07-05 00:00:00.000	58.48	3.679	0.09894	0.04654607	0.14548607	100.9970778	16.84643334	313.8149539	19.74222325	0.530931114	0.249775185	0.780706299	224.4379506	31.19709877
10	2	2017-07-14 00:00:00.000	30.55	2.162	0.1109	0.02284507	0.13374507	88.45235601	11.28680597	152.9251957	10.82239847	0.555135981	0.11435636	0.669492341	196.5607911	20.90149254
10	2	2017-07-20 00:00:00.000	47.05	1.894	0.10076	0.03114907	0.13190907	124.7192197	7.98860509	233.4107812	9.395962158	0.499861218	0.15452771	0.654388928	277.1538216	14.79371313
