Trt	Plot	Sample	Substrate	Enzyme_nm_g_hr	SampDate	RunDay
PRE	1	1	AG	0	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	1	AG	12.64278703	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	1	AG	91.11702952	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	1	AG	6.052243971	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	1	BG	243.1578003	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	1	BG	351.3397655	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	1	BG	944.0045644	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	1	BG	295.1719215	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	1	BX	25.34479978	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	1	BX	60.85749322	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	1	BX	170.3108883	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	1	BX	57.11139201	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	1	CBH	13.98760297	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	1	CBH	28.52496965	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	1	CBH	130.6619412	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	1	CBH	35.50827855	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	1	LAP	512.8556714	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	1	LAP	517.0446364	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	1	LAP	763.3964605	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	1	LAP	587.0248495	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	1	NAG	10.45403277	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	1	NAG	0	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	1	NAG	88.54349586	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	1	NAG	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	1	PER1	5.204334685	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	1	PER1	4.521886502	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	1	PER1	1.62317097	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	1	PER1	6.311716701	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	1	PEROX	10.47940576	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	1	PEROX	9.684932053	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	1	PEROX	6.996322044	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	1	PEROX	9.064698263	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	1	PHENOX	5.275071077	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	1	PHENOX	5.163045552	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	1	PHENOX	5.373151074	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	1	PHENOX	2.752981561	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	1	PHOS	419.8803075	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	1	PHOS	47.27059275	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	1	PHOS	416.7875291	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	1	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	2	AG	17.276992	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	2	AG	21.12100965	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	2	AG	78.49617466	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	2	AG	0.335869911	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	2	BG	351.0759621	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	2	BG	509.8618395	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	2	BG	674.5761292	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	2	BG	307.1037527	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	2	BX	74.27281302	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	2	BX	64.11135215	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	2	BX	102.7712626	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	2	BX	43.13733377	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	2	CBH	19.46279069	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	2	CBH	32.70882514	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	2	CBH	48.42498315	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	2	CBH	31.2723637	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	2	LAP	520.8974049	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	2	LAP	560.2122464	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	2	LAP	744.7854983	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	2	LAP	500.470612	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	2	NAG	23.8403688	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	2	NAG	0	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	2	NAG	54.22779634	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	2	NAG	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	2	PER1	0	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	2	PER1	0.064170652	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	2	PER1	4.611861363	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	2	PER1	5.597472933	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	2	PEROX	9.706266076	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	2	PEROX	5.360860453	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	2	PEROX	9.114907851	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	2	PEROX	11.84084447	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	2	PHENOX	10.37082291	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	2	PHENOX	5.296689801	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	2	PHENOX	4.503046487	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	2	PHENOX	6.243371536	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	2	PHOS	418.392714	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	2	PHOS	18.73427564	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	2	PHOS	342.6581401	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	2	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	3	AG	14.01294624	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	3	AG	8.374841656	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	3	AG	55.40777867	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	3	AG	18.77784096	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	3	BG	251.7964426	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	3	BG	344.9520226	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	3	BG	497.2926233	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	3	BG	481.6447024	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	3	BX	32.23654143	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	3	BX	51.02893786	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	3	BX	96.34087466	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	3	BX	79.46110554	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	3	CBH	9.539934326	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	3	CBH	19.0579413	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	3	CBH	45.97866474	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	3	CBH	52.97685873	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	3	LAP	471.1939363	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	3	LAP	366.8553935	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	3	LAP	693.5866223	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	3	LAP	612.1921877	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	3	NAG	6.128421149	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	3	NAG	6.465746996	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	3	NAG	44.16747763	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	3	NAG	18.93433594	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	3	PER1	4.011550871	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	3	PER1	3.836064722	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	3	PER1	2.530583082	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	3	PER1	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	3	PEROX	8.45665665	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	3	PEROX	8.088311559	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	3	PEROX	1.694471195	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	3	PEROX	1.328721388	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	3	PHENOX	4.445105779	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	3	PHENOX	4.252246837	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	3	PHENOX	0	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	3	PHENOX	4.004654183	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	3	PHOS	306.2179116	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	3	PHOS	0	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	3	PHOS	276.5887108	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	3	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	4	AG	2.899641968	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	4	AG	0	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	4	AG	3.978307313	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	4	AG	15.49745434	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	4	BG	258.6911137	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	4	BG	255.8489317	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	4	BG	292.5733198	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	4	BG	528.2354786	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	4	BX	14.92307641	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	4	BX	11.13709725	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	4	BX	25.4296758	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	4	BX	81.86259789	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	4	CBH	18.15376403	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	4	CBH	15.84064478	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	4	CBH	6.675317833	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	4	CBH	52.92444787	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	4	LAP	516.1984127	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	4	LAP	498.8572996	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	4	LAP	630.4340167	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	4	LAP	772.9318171	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	4	NAG	5.424627451	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	4	NAG	5.117580911	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	4	NAG	29.14851387	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	4	NAG	20.62650068	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	4	PER1	0	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	4	PER1	8.010015922	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	4	PER1	0	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	4	PER1	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	4	PEROX	4.625308055	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	4	PEROX	10.56937527	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	4	PEROX	3.597927858	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	4	PEROX	5.901090852	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	4	PHENOX	6.358744233	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	4	PHENOX	2.55935935	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	4	PHENOX	5.307883155	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	4	PHENOX	7.052763053	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	4	PHOS	135.2342521	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	4	PHOS	0	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	4	PHOS	136.2569579	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	4	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	5	AG	16.16095351	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	5	AG	38.42194099	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	5	AG	53.18297931	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	5	AG	27.38696241	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	5	BG	226.3613949	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	5	BG	431.6000069	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	5	BG	574.0702355	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	5	BG	612.8563059	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	5	BX	39.40244407	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	5	BX	95.72806616	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	5	BX	109.5580452	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	5	BX	62.09011697	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	5	CBH	15.80312248	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	5	CBH	47.94952788	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	5	CBH	53.80589832	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	5	CBH	62.74408599	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	5	LAP	500.4843364	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	5	LAP	575.2946571	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	5	LAP	750.1596288	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	5	LAP	671.3698359	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	5	NAG	6.55096674	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	5	NAG	13.07417155	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	5	NAG	184.2167822	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	5	NAG	9.000834646	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	5	PER1	6.225115322	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	5	PER1	2.128054898	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	5	PER1	1.311793567	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	5	PER1	4.19111772	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	5	PEROX	8.91831036	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	5	PEROX	7.651470178	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	5	PEROX	3.442797807	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	5	PEROX	10.11411865	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	5	PHENOX	2.693195038	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	5	PHENOX	5.52341528	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	5	PHENOX	2.131004241	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	5	PHENOX	5.923000927	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	1	5	PHOS	171.9697236	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	1	5	PHOS	35.1574106	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	1	5	PHOS	361.0465621	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	1	5	PHOS	0	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	1	AG	0	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	1	AG	13.30049826	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	1	AG	55.45698127	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
4WK	2	1	AG	28.50214223	2017-08-07 00:00:00.000	2017-10-27 00:00:00.000
PRE	2	1	BG	262.6558716	2017-07-03 00:00:00.000	2017-09-20 00:00:00.000
24H	2	1	BG	408.2923941	2017-07-11 00:00:00.000	2017-09-28 00:00:00.000
1wk	2	1	BG	624.2825015	2017-07-17 00:00:00.000	2017-09-20 00:00:00.000
