Plot	Sample	SampDate	pH	Inputed
1	1	2017-07-03 00:00:00.000	7.79	0
1	1	2017-08-07 00:00:00.000	7.67	0
1	2	2017-07-03 00:00:00.000	7.83	0
1	2	2017-08-07 00:00:00.000	7.44	0
1	3	2017-07-03 00:00:00.000	7.76	0
1	3	2017-08-07 00:00:00.000	7.65	0
1	4	2017-07-03 00:00:00.000	7.96	0
1	4	2017-08-07 00:00:00.000	7.32	0
1	5	2017-07-03 00:00:00.000	7.56	0
1	5	2017-08-07 00:00:00.000	7.56	0
2	1	2017-07-03 00:00:00.000	7.64	0
2	1	2017-08-07 00:00:00.000	7.3	0
2	2	2017-07-03 00:00:00.000	7.57	0
2	2	2017-08-07 00:00:00.000	7.61	0
2	3	2017-07-03 00:00:00.000	7.7	0
2	3	2017-08-07 00:00:00.000	7.55	0
2	4	2017-07-03 00:00:00.000	7.62	0
2	4	2017-08-07 00:00:00.000	7.56	0
2	5	2017-07-03 00:00:00.000	7.63	1
2	5	2017-08-07 00:00:00.000	7.46	0
3	1	2017-07-03 00:00:00.000	7.77	0
3	1	2017-08-07 00:00:00.000	7.35	0
3	2	2017-07-03 00:00:00.000	7.57	0
3	2	2017-08-07 00:00:00.000	7.42	0
3	3	2017-07-03 00:00:00.000	7.72	0
3	3	2017-08-07 00:00:00.000	7.37	0
3	4	2017-07-03 00:00:00.000	7.61	0
3	4	2017-08-07 00:00:00.000	7.54	0
3	5	2017-07-03 00:00:00.000	7.53	0
3	5	2017-08-07 00:00:00.000	7.31	0
4	1	2017-07-04 00:00:00.000	7.44	0
4	1	2017-08-09 00:00:00.000	7.17	0
4	2	2017-07-04 00:00:00.000	7.42	0
4	2	2017-08-09 00:00:00.000	7.19	0
4	3	2017-07-04 00:00:00.000	7.42	0
4	3	2017-08-09 00:00:00.000	7.26	0
4	4	2017-07-04 00:00:00.000	7.48	0
4	4	2017-08-09 00:00:00.000	7.35	0
4	5	2017-07-04 00:00:00.000	7.65	0
4	5	2017-08-09 00:00:00.000	7.41	0
5	1	2017-07-04 00:00:00.000	7.52	0
5	1	2017-08-09 00:00:00.000	7.27	0
5	2	2017-07-04 00:00:00.000	7.43	0
5	2	2017-08-09 00:00:00.000	7.25	0
5	3	2017-07-04 00:00:00.000	7.49	0
5	3	2017-08-09 00:00:00.000	7.28	0
5	4	2017-07-04 00:00:00.000	7.43	0
5	4	2017-08-09 00:00:00.000	7.41	0
5	5	2017-07-04 00:00:00.000	7.49	0
5	5	2017-08-09 00:00:00.000	7.28	0
6	1	2017-07-04 00:00:00.000	6.81	0
6	1	2017-08-09 00:00:00.000	7.04	0
6	2	2017-07-04 00:00:00.000	7.34	0
6	2	2017-08-09 00:00:00.000	7.39	0
6	3	2017-07-04 00:00:00.000	7.32	0
6	3	2017-08-09 00:00:00.000	7.42	0
6	4	2017-07-04 00:00:00.000	7.43	0
6	4	2017-08-09 00:00:00.000	7.44	0
6	5	2017-07-04 00:00:00.000	5.8	0
6	5	2017-08-09 00:00:00.000	7.56	0
7	1	2017-07-05 00:00:00.000	7.37	0
7	1	2017-08-08 00:00:00.000	7.39	0
7	2	2017-07-05 00:00:00.000	7.34	0
7	2	2017-08-08 00:00:00.000	7.14	0
7	3	2017-07-05 00:00:00.000	7.39	1
7	3	2017-08-08 00:00:00.000	7.29	0
7	4	2017-07-05 00:00:00.000	7.42	0
7	4	2017-08-08 00:00:00.000	7.24	0
7	5	2017-07-05 00:00:00.000	7.43	0
7	5	2017-08-08 00:00:00.000	7.3	0
8	1	2017-07-05 00:00:00.000	7.45	0
8	1	2017-08-08 00:00:00.000	7.47	0
8	2	2017-07-05 00:00:00.000	7.24	0
8	2	2017-08-08 00:00:00.000	7.33	0
8	3	2017-07-05 00:00:00.000	7.21	0
8	3	2017-08-08 00:00:00.000	7.37	0
8	4	2017-07-05 00:00:00.000	7.59	0
8	4	2017-08-08 00:00:00.000	6.38	0
8	5	2017-07-05 00:00:00.000	7.58	0
8	5	2017-08-08 00:00:00.000	6.74	0
9	1	2017-07-05 00:00:00.000	7.02	0
9	1	2017-08-08 00:00:00.000	7.19	0
9	2	2017-07-05 00:00:00.000	7.2	0
9	2	2017-08-08 00:00:00.000	7.47	0
9	3	2017-07-05 00:00:00.000	7.63	0
9	3	2017-08-08 00:00:00.000	7.41	0
9	4	2017-07-05 00:00:00.000	7.52	0
9	4	2017-08-08 00:00:00.000	7.35	0
9	5	2017-07-05 00:00:00.000	7.5	0
9	5	2017-08-08 00:00:00.000	7.32	0
10	1	2017-07-05 00:00:00.000	7.33	0
10	1	2017-08-10 00:00:00.000	7.4	0
10	2	2017-07-05 00:00:00.000	7.25	0
10	2	2017-08-10 00:00:00.000	7.35	0
10	3	2017-07-05 00:00:00.000	7.63	0
10	3	2017-08-10 00:00:00.000	7.38	0
10	4	2017-07-05 00:00:00.000	7.73	0
10	4	2017-08-10 00:00:00.000	7.29	0
10	5	2017-07-05 00:00:00.000	7.36	0
10	5	2017-08-10 00:00:00.000	7.7	0
11	1	2017-07-05 00:00:00.000	7.35	0
11	1	2017-08-10 00:00:00.000	7.41	0
11	2	2017-07-05 00:00:00.000	7.33	0
11	2	2017-08-10 00:00:00.000	7.56	0
11	3	2017-07-05 00:00:00.000	7.28	0
11	3	2017-08-10 00:00:00.000	7.38	0
11	4	2017-07-05 00:00:00.000	7.14	0
11	4	2017-08-10 00:00:00.000	7.34	0
11	5	2017-07-05 00:00:00.000	7.44	0
11	5	2017-08-10 00:00:00.000	7.36	0
12	1	2017-07-05 00:00:00.000	7.16	0
12	1	2017-08-10 00:00:00.000	7.45	0
12	2	2017-07-05 00:00:00.000	7.42	0
12	2	2017-08-10 00:00:00.000	7.37	0
12	3	2017-07-05 00:00:00.000	7.39	1
12	3	2017-08-10 00:00:00.000	7.62	0
12	4	2017-07-05 00:00:00.000	7.34	0
12	4	2017-08-10 00:00:00.000	7.31	0
12	5	2017-07-05 00:00:00.000	7.62	0
12	5	2017-08-10 00:00:00.000	7.23	0
