"Treatment"	"GrazeTime"	"soil_type"	"meanOb"	"seOb"	"meanShan"	"seShan"
"HI"	"1WK"	"B"	931.333	34.362	6.189	0.04
"HI"	"1WK"	"R"	924.667	37.132	6.243	0.028
"HI"	"24H"	"B"	818	14.844	6.101	0.072
"HI"	"24H"	"R"	905.667	33.943	6.296	0.027
"HI"	"4WK"	"B"	907.333	35.22	6.176	0.084
"HI"	"4WK"	"R"	860	23	6.153	0.035
"HI"	"PRE"	"B"	982	216.093	6.196	0.175
"HI"	"PRE"	"R"	955.667	360.19	6.204	0.365
"LO"	"1WK"	"B"	961.333	23.132	6.23	0.01
"LO"	"1WK"	"R"	887.667	49.694	6.141	0.02
"LO"	"24H"	"B"	828.667	31.519	6.111	0.057
"LO"	"24H"	"R"	831.333	14.075	6.094	0.064
"LO"	"4WK"	"B"	894.333	19.099	6.165	0.007
"LO"	"4WK"	"R"	1156	198.925	6.457	0.141
"LO"	"PRE"	"B"	862.333	128.463	6.13	0.116
"LO"	"PRE"	"R"	800	94.113	6.143	0.097
"NO"	"1WK"	"B"	939.667	66.896	6.234	0.088
"NO"	"1WK"	"R"	832.667	88.262	6.06	0.135
"NO"	"24H"	"B"	825	120.451	6.155	0.154
"NO"	"24H"	"R"	888.667	77.379	6.234	0.07
"NO"	"4WK"	"B"	867	32.696	6.174	0.046
"NO"	"4WK"	"R"	814	128.594	6.121	0.113
"NO"	"PRE"	"B"	907	68.537	6.19	0.06
"NO"	"PRE"	"R"	880.333	43.857	6.233	0.06
