"Treatment"	"GrazeTime"	"soil_type"	"meanOb"	"seOb"	"meanShan"	"seShan"
"HI"	"1WK"	"B"	204.667	44.333	3.75	0.234
"HI"	"1WK"	"R"	172.667	9.333	3.895	0.155
"HI"	"24H"	"B"	218	36.46	3.898	0.066
"HI"	"24H"	"R"	195	4.041	4.228	0.099
"HI"	"4WK"	"B"	238	6.506	4.333	0.112
"HI"	"4WK"	"R"	154	21.825	3.761	0.307
"HI"	"PRE"	"B"	195.667	21.216	3.768	0.239
"HI"	"PRE"	"R"	141	8.622	3.755	0.065
"LO"	"1WK"	"B"	214	5.292	3.503	0.445
"LO"	"1WK"	"R"	189	32.929	3.702	0.453
"LO"	"24H"	"B"	235.667	20.955	4.046	0.512
"LO"	"24H"	"R"	145.333	31.965	2.955	0.865
"LO"	"4WK"	"B"	219.333	28.198	3.894	0.308
"LO"	"4WK"	"R"	213.667	24.34	4.365	0.105
"LO"	"PRE"	"B"	219.333	30.899	4.168	0.453
"LO"	"PRE"	"R"	170	13.317	3.946	0.278
"NO"	"1WK"	"B"	216	7.638	3.956	0.121
"NO"	"1WK"	"R"	164.667	20.513	3.675	0.259
"NO"	"24H"	"B"	261.667	9.684	4.503	0.124
"NO"	"24H"	"R"	200	5.508	4.197	0.214
"NO"	"4WK"	"B"	219.333	22.674	3.99	0.254
"NO"	"4WK"	"R"	156.333	22.063	3.216	0.652
"NO"	"PRE"	"B"	188.5	3.5	3.624	0.264
"NO"	"PRE"	"R"	167.667	8.253	3.697	0.257
