"Param"	"contrast"	"diffTimeSeries"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"
"NPOC"	"HI - LO"	"diff_1WK"	-0.649981849334342	0.271683123394496	Inf	-2.39242629874561	0.0441450428533855
"NPOC"	"HI - NO"	"diff_1WK"	-0.347231376372444	0.271683123394496	Inf	-1.27807488383534	0.407572276903426
"NPOC"	"LO - NO"	"diff_1WK"	0.302750472961898	0.271683123394496	Inf	1.11435141491027	0.505170183035567
"NPOC"	"HI - LO"	"diff_24H"	-0.732147565979928	0.271683123394496	Inf	-2.69485846905852	0.0192895275511288
"NPOC"	"HI - NO"	"diff_24H"	-0.203335914691035	0.271683123394496	Inf	-0.748430421994901	0.734575281779785
"NPOC"	"LO - NO"	"diff_24H"	0.528811651288892	0.271683123394496	Inf	1.94642804706362	0.125828304629985
"NPOC"	"HI - LO"	"diff_4WK"	-0.447510048047374	0.271683123394496	Inf	-1.64717646961666	0.225919341765381
"NPOC"	"HI - NO"	"diff_4WK"	-0.279287885077748	0.271683123394496	Inf	-1.02799129216506	0.559147671219529
"NPOC"	"LO - NO"	"diff_4WK"	0.168222162969626	0.271683123394496	Inf	0.619185177451599	0.809609137075637
"NH4"	"HI - LO"	"diff_1WK"	-0.965917948246038	0.302705487754703	Inf	-3.19094957746114	0.00405096078592349
"NH4"	"HI - NO"	"diff_1WK"	-0.383889302784119	0.302705487754703	Inf	-1.26819406424241	0.413227037758235
"NH4"	"LO - NO"	"diff_1WK"	0.582028645461919	0.302705487754703	Inf	1.92275551321873	0.132247471929648
"NH4"	"HI - LO"	"diff_24H"	-0.299179026786807	0.302705487754703	Inf	-0.988350191487927	0.584230474100678
"NH4"	"HI - NO"	"diff_24H"	0.242790173146733	0.302705487754703	Inf	0.80206729963045	0.701735916941419
"NH4"	"LO - NO"	"diff_24H"	0.54196919993354	0.302705487754703	Inf	1.79041749111838	0.172760202647393
"NH4"	"HI - LO"	"diff_4WK"	-0.267593282458061	0.302705487754703	Inf	-0.884005389010009	0.650418087179943
"NH4"	"HI - NO"	"diff_4WK"	0.262404847245353	0.302705487754703	Inf	0.866865180382828	0.661234190284175
"NH4"	"LO - NO"	"diff_4WK"	0.529998129703414	0.302705487754703	Inf	1.75087056939284	0.18644841286634
"DON"	"HI - LO"	"diff_1WK"	0.621388606603481	1.67415485340345	Inf	0.371165549793818	0.926880043813859
"DON"	"HI - NO"	"diff_1WK"	0.115737075877794	1.67415485340345	Inf	0.0691316431347483	0.997368592567798
"DON"	"LO - NO"	"diff_1WK"	-0.505651530725687	1.67415485340345	Inf	-0.30203390665907	0.950958356108287
"DON"	"HI - LO"	"diff_24H"	-2.04528861571436	1.67415485340345	Inf	-1.2216842495522	0.44029149710026
"DON"	"HI - NO"	"diff_24H"	-2.30316731466218	1.67415485340345	Inf	-1.37571940252719	0.353676377202765
"DON"	"LO - NO"	"diff_24H"	-0.257878698947818	1.67415485340345	Inf	-0.154035152974987	0.987004549309654
"DON"	"HI - LO"	"diff_4WK"	0.331840361460854	1.67415485340345	Inf	0.19821366033509	0.978573702356038
"DON"	"HI - NO"	"diff_4WK"	-0.667048916346716	1.67415485340345	Inf	-0.398439197539372	0.91622231029839
"DON"	"LO - NO"	"diff_4WK"	-0.99888927780757	1.67415485340345	Inf	-0.596652857874463	0.821911035667777
"GravMois"	"HI - LO"	"diff_1WK"	-0.114612443313192	0.43738174794051	Inf	-0.262042126478448	0.962855333914115
"GravMois"	"HI - NO"	"diff_1WK"	-0.213109575485818	0.437381747940509	Inf	-0.487239297225554	0.877374650981608
"GravMois"	"LO - NO"	"diff_1WK"	-0.0984971321726266	0.43738174794051	Inf	-0.225197170747106	0.972430209859712
"GravMois"	"HI - LO"	"diff_24H"	-0.0637059288655625	0.437381747940509	Inf	-0.145652920281958	0.988372336705042
"GravMois"	"HI - NO"	"diff_24H"	-0.10657154718317	0.43738174794051	Inf	-0.243657966261696	0.967801906981732
"GravMois"	"LO - NO"	"diff_24H"	-0.0428656183176077	0.437381747940509	Inf	-0.0980050459797378	0.994718595399353
"GravMois"	"HI - LO"	"diff_4WK"	-0.161961001977577	0.43738174794051	Inf	-0.3702966635901	0.927209131459408
"GravMois"	"HI - NO"	"diff_4WK"	-0.232002594517414	0.43738174794051	Inf	-0.530435016115418	0.856388883792008
"GravMois"	"LO - NO"	"diff_4WK"	-0.0700415925398375	0.43738174794051	Inf	-0.160138352525319	0.985961794436039
