"seq"	"Treatment"	"GrazeTime"	"medShannon"	"iqrShannon"	"medOb"	"iqrOb"
"16S"	"HI"	"1WK"	6.22878090784226	0.0376184451214252	932.5	85.75
"16S"	"HI"	"24H"	6.21452527428569	0.129496937010286	853.5	60.25
"16S"	"HI"	"4WK"	6.1470651583684	0.0994455988446727	883	46.5
"16S"	"HI"	"PRE"	6.21406922502743	0.487976111139062	842.5	527
"16S"	"LO"	"1WK"	6.19489005989826	0.0885924231836981	942	112.25
"16S"	"LO"	"24H"	6.08618030574638	0.160358836309615	823.5	35.25
"16S"	"LO"	"4WK"	6.23581083707354	0.162989782766639	927.5	59.25
"16S"	"LO"	"PRE"	6.19665045883871	0.240655158876757	875	202.75
"16S"	"NO"	"1WK"	6.17217749986506	0.276491316601727	912	171.5
"16S"	"NO"	"24H"	6.21614204738133	0.195598497620866	862.5	199.75
"16S"	"NO"	"4WK"	6.1516349837357	0.136822046064816	863	91.75
"16S"	"NO"	"PRE"	6.2128196000938	0.0849509303836875	894	128
"ITS"	"HI"	"1WK"	3.90130720189147	0.29293714074751	180	30.5
"ITS"	"HI"	"24H"	4.02740770364244	0.20977623040219	192	9.75
"ITS"	"HI"	"4WK"	4.22155656277276	0.372053683160378	206.5	59.5
"ITS"	"HI"	"PRE"	3.79112085245679	0.245218276231619	165	35
"ITS"	"LO"	"1WK"	3.65045952585298	0.901169155467925	209	34.5
"ITS"	"LO"	"24H"	3.81966584137233	0.95552870169964	200.5	79
"ITS"	"LO"	"4WK"	4.27450932958214	0.736634683339116	214.5	57
"ITS"	"LO"	"PRE"	4.22331063237998	0.80932279089946	182	47
"ITS"	"NO"	"1WK"	3.84096052004679	0.605638029294679	203.5	37.25
"ITS"	"NO"	"24H"	4.39422809984173	0.331402319618446	231	53.5
"ITS"	"NO"	"4WK"	3.85584998050062	0.615428091762067	187.5	42
"ITS"	"NO"	"PRE"	3.65719870007533	0.52808314030903	180	14
