"Treatment"	"GrazeTime"	"meanOb"	"sdOb"
"HI"	"1WK"	188.666666666667	52.6333227781286
"HI"	"24H"	206.5	42.1129433784911
"HI"	"4WK"	196	52.3373671481476
"HI"	"PRE"	168.333333333333	39.0623433330192
"LO"	"1WK"	201.5	39.0166631069342
"LO"	"24H"	190.5	64.8158931127235
"LO"	"4WK"	216.5	40.9230986119087
"LO"	"PRE"	194.666666666667	45.7019328548221
"NO"	"1WK"	190.333333333333	36.9522214036811
"NO"	"24H"	230.833333333333	35.9133215766332
"NO"	"4WK"	187.833333333333	48.9056915569821
"NO"	"PRE"	176	15.4434452114805
