"Type"	"Comp"	"fstat"	"pval"
"PHOS"	"Time"	0.681356226898339	0.572
"PHOS"	"Treatment"	2.04943277627698	0.151
"PHOS"	"Interaction"	0.485298872700885	0.813
"PHENOX"	"Time"	2.05355245171565	0.133
"PHENOX"	"Treatment"	1.46533742201661	0.251
"PHENOX"	"Interaction"	0.53156632486894	0.779
"PEROX"	"Time"	2.79055900249429	0.062
"PEROX"	"Treatment"	0.871164197423613	0.431
"PEROX"	"Interaction"	0.247226465932624	0.956
"PER1"	"Time"	0.740806193282413	0.538
"PER1"	"Treatment"	1.55267921378426	0.232
"PER1"	"Interaction"	0.21249058347876	0.969
"NP"	"Time"	0.656878648285481	0.587
"NP"	"Treatment"	1.3610987745096	0.275
"NP"	"Interaction"	0.811112794831154	0.572
"NDON"	"Time"	2.60653232972116	0.075
"NDON"	"Treatment"	0.91538839086869	0.414
"NDON"	"Interaction"	0.268287118145911	0.946
"Ncycl"	"Time"	0.750018687721069	0.533
"Ncycl"	"Treatment"	0.332774484041668	0.72
"Ncycl"	"Interaction"	0.380256476758632	0.884
"NAG"	"Time"	25.6850645088306	0
"NAG"	"Treatment"	2.54510987926616	0.099
"NAG"	"Interaction"	1.06291344372461	0.411
"LAP"	"Time"	0.575369756364231	0.637
"LAP"	"Treatment"	0.222450625963786	0.802
"LAP"	"Interaction"	0.320212226087037	0.92
"CP"	"Time"	0.672889403724837	0.577
"CP"	"Treatment"	1.21729081602921	0.314
"CP"	"Interaction"	0.867945823366061	0.532
"CNrat"	"Time"	11.8688171675842	0
"CNrat"	"Treatment"	3.23346993433947	0.057
"CNrat"	"Interaction"	1.01589365816432	0.439
"CdocNdon"	"Time"	4.92128363219447	0.008
"CdocNdon"	"Treatment"	3.16794678830133	0.06
"CdocNdon"	"Interaction"	2.02074312702596	0.102
"CDOC"	"Time"	0.630359059900517	0.603
"CDOC"	"Treatment"	7.14834543664502	0.004
"CDOC"	"Interaction"	1.04114834220083	0.424
"Ccycl"	"Time"	17.2937284016844	0
"Ccycl"	"Treatment"	4.81688660367813	0.017
"Ccycl"	"Interaction"	1.00129415563275	0.447
"CBH"	"Time"	9.47067707162254	0
"CBH"	"Treatment"	5.54385750388909	0.01
"CBH"	"Interaction"	1.72274992708194	0.159
"BX"	"Time"	16.7540855249394	0
"BX"	"Treatment"	2.94715039641703	0.072
"BX"	"Interaction"	0.786679018046912	0.589
"BG"	"Time"	8.16568009249276	0.001
"BG"	"Treatment"	4.40785176402494	0.023
"BG"	"Interaction"	0.932441639072781	0.49
"AG"	"Time"	24.2484110810099	0
"AG"	"Treatment"	0.407628330078813	0.67
"AG"	"Interaction"	0.194180419569239	0.975
